ID,Province,BurnIncidentID,Hectares Burnt,Date,Latitude,Longitude,Climate ID,Station ID
36738,AB,438,264.5331802367521,2022-10-02,59.40907732445299,-110.70959041730998,3072659,3619
36739,AB,438,264.5331802367521,2022-10-03,59.40907732445299,-110.70959041730998,3072659,3619
36740,AB,438,264.5331802367521,2022-10-04,59.40907732445299,-110.70959041730998,3072659,3619
36741,AB,438,264.5331802367521,2022-10-05,59.40907732445299,-110.70959041730998,3072659,3619
36742,AB,438,264.5331802367521,2022-10-06,59.40907732445299,-110.70959041730998,3072659,3619
36743,AB,438,264.5331802367521,2022-10-07,59.40907732445299,-110.70959041730998,3072659,3619
36744,AB,438,264.5331802367521,2022-10-08,59.40907732445299,-110.70959041730998,3072659,3619
36745,AB,438,264.5331802367521,2022-10-09,59.40907732445299,-110.70959041730998,3072659,3619
36855,AB,436,31.17367010135135,2022-10-02,59.81009942210068,-111.11078362277333,3073071,3642
36856,AB,436,31.17367010135135,2022-10-03,59.81009942210068,-111.11078362277333,3073071,3642
36948,BC,429,106.48094474271844,2022-10-02,59.75071496526832,-129.40777829211092,2101106,1904
36949,BC,429,106.48094474271844,2022-10-03,59.75071496526832,-129.40777829211092,2101106,1904
36950,BC,429,106.48094474271844,2022-10-04,59.75071496526832,-129.40777829211092,2101106,1904
36951,BC,429,106.48094474271844,2022-10-05,59.75071496526832,-129.40777829211092,2101106,1904
36952,BC,429,106.48094474271844,2022-10-06,59.75071496526832,-129.40777829211092,2101106,1904
36953,BC,429,106.48094474271844,2022-10-07,59.75071496526832,-129.40777829211092,2101106,1904
36954,BC,429,106.48094474271844,2022-10-08,59.75071496526832,-129.40777829211092,2101106,1904
36955,BC,429,106.48094474271844,2022-10-09,59.75071496526832,-129.40777829211092,2101106,1904
36956,BC,429,106.48094474271844,2022-10-10,59.75071496526832,-129.40777829211092,2101106,1904
36957,BC,429,106.48094474271844,2022-10-11,59.75071496526832,-129.40777829211092,2101106,1904
36958,BC,429,106.48094474271844,2022-10-12,59.75071496526832,-129.40777829211092,2101106,1904
36959,BC,429,106.48094474271844,2022-10-13,59.75071496526832,-129.40777829211092,2101106,1904
37055,YT,329,232.95819687142856,2022-10-02,60.51977805820496,-126.08908003987652,2201023,1942
37056,YT,329,232.95819687142856,2022-10-03,60.51977805820496,-126.08908003987652,2201023,1942
37057,YT,329,232.95819687142856,2022-10-04,60.51977805820496,-126.08908003987652,2201023,1942
37058,YT,329,232.95819687142856,2022-10-05,60.51977805820496,-126.08908003987652,2201023,1942
37059,YT,329,232.95819687142856,2022-10-06,60.51977805820496,-126.08908003987652,2201023,1942
37060,YT,329,232.95819687142856,2022-10-07,60.51977805820496,-126.08908003987652,2201023,1942
37061,YT,329,232.95819687142856,2022-10-08,60.51977805820496,-126.08908003987652,2201023,1942
37062,YT,329,232.95819687142856,2022-10-09,60.51977805820496,-126.08908003987652,2201023,1942
37063,YT,329,232.95819687142856,2022-10-10,60.51977805820496,-126.08908003987652,2201023,1942
37064,YT,329,232.95819687142856,2022-10-11,60.51977805820496,-126.08908003987652,2201023,1942
37172,NT,153,201.87081052566373,2022-10-02,60.23914422888012,-110.36317391832718,3073071,3642
37173,NT,153,201.87081052566373,2022-10-03,60.23914422888012,-110.36317391832718,3073071,3642
37174,NT,153,201.87081052566373,2022-10-04,60.23914422888012,-110.36317391832718,3073071,3642
37175,NT,153,201.87081052566373,2022-10-05,60.23914422888012,-110.36317391832718,3073071,3642
37176,NT,153,201.87081052566373,2022-10-06,60.23914422888012,-110.36317391832718,3073071,3642
37177,NT,153,201.87081052566373,2022-10-07,60.23914422888012,-110.36317391832718,3073071,3642
37282,YT,325,1.5513514150862069,2022-10-02,60.126840344709926,-124.5257626131056,2202678,2010
37283,YT,325,1.5513514150862069,2022-10-03,60.126840344709926,-124.5257626131056,2202678,2010
37284,YT,325,1.5513514150862069,2022-10-04,60.126840344709926,-124.5257626131056,2202678,2010
37285,YT,325,1.5513514150862069,2022-10-05,60.126840344709926,-124.5257626131056,2202678,2010
37286,YT,325,1.5513514150862069,2022-10-06,60.126840344709926,-124.5257626131056,2202678,2010
37287,YT,325,1.5513514150862069,2022-10-07,60.126840344709926,-124.5257626131056,2202678,2010
37288,YT,325,1.5513514150862069,2022-10-08,60.126840344709926,-124.5257626131056,2202678,2010
37289,YT,325,1.5513514150862069,2022-10-09,60.126840344709926,-124.5257626131056,2202678,2010
37290,YT,325,1.5513514150862069,2022-10-10,60.126840344709926,-124.5257626131056,2202678,2010
37291,YT,325,1.5513514150862069,2022-10-11,60.126840344709926,-124.5257626131056,2202678,2010
37292,YT,325,1.5513514150862069,2022-10-12,60.126840344709926,-124.5257626131056,2202678,2010
37293,YT,325,1.5513514150862069,2022-10-13,60.126840344709926,-124.5257626131056,2202678,2010
37388,NT,42,0.4901922168257143,2022-10-02,64.97282865639696,-129.15233475114175,2201406,1950
37389,NT,42,0.4901922168257143,2022-10-03,64.97282865639696,-129.15233475114175,2201406,1950
37390,NT,42,0.4901922168257143,2022-10-04,64.97282865639696,-129.15233475114175,2201406,1950
37391,NT,42,0.4901922168257143,2022-10-05,64.97282865639696,-129.15233475114175,2201406,1950
37392,NT,42,0.4901922168257143,2022-10-06,64.97282865639696,-129.15233475114175,2201406,1950
37393,NT,42,0.4901922168257143,2022-10-07,64.97282865639696,-129.15233475114175,2201406,1950
37394,NT,42,0.4901922168257143,2022-10-08,64.97282865639696,-129.15233475114175,2201406,1950
37395,NT,42,0.4901922168257143,2022-10-09,64.97282865639696,-129.15233475114175,2201406,1950
