,FireProvinceShort,BurnIncidentID,HectaresBurnt,Date,FireLatitude,FireLongitude
0,ON,5,6.659504258276699,1987-04-09,48.859937599123256,-94.59278298379458
1,ON,5,6.659504258276699,1987-04-10,48.859937599123256,-94.59278298379458
2,ON,5,6.659504258276699,1987-04-11,48.859937599123256,-94.59278298379458
3,ON,5,6.659504258276699,1987-04-12,48.859937599123256,-94.59278298379458
4,ON,5,6.659504258276699,1987-04-13,48.859937599123256,-94.59278298379458
5,ON,5,6.659504258276699,1987-04-14,48.859937599123256,-94.59278298379458
6,ON,5,6.659504258276699,1987-04-15,48.859937599123256,-94.59278298379458
7,ON,5,6.659504258276699,1987-04-16,48.859937599123256,-94.59278298379458
8,ON,5,6.659504258276699,1987-04-17,48.859937599123256,-94.59278298379458
9,ON,5,6.659504258276699,1987-04-18,48.859937599123256,-94.59278298379458
10,ON,5,6.659504258276699,1987-04-19,48.859937599123256,-94.59278298379458
11,ON,5,6.659504258276699,1987-04-20,48.859937599123256,-94.59278298379458
12,ON,5,6.659504258276699,1987-04-21,48.859937599123256,-94.59278298379458
13,ON,5,6.659504258276699,1987-04-22,48.859937599123256,-94.59278298379458
14,ON,5,6.659504258276699,1987-04-23,48.859937599123256,-94.59278298379458
15,ON,5,6.659504258276699,1987-04-24,48.859937599123256,-94.59278298379458
16,ON,5,6.659504258276699,1987-04-25,48.859937599123256,-94.59278298379458
17,ON,5,6.659504258276699,1987-04-26,48.859937599123256,-94.59278298379458
18,ON,5,6.659504258276699,1987-04-27,48.859937599123256,-94.59278298379458
19,ON,5,6.659504258276699,1987-04-28,48.859937599123256,-94.59278298379458
20,ON,5,6.659504258276699,1987-04-29,48.859937599123256,-94.59278298379458
21,ON,5,6.659504258276699,1987-04-30,48.859937599123256,-94.59278298379458
22,ON,5,6.659504258276699,1987-05-01,48.859937599123256,-94.59278298379458
23,ON,5,6.659504258276699,1987-05-02,48.859937599123256,-94.59278298379458
24,ON,5,6.659504258276699,1987-05-03,48.859937599123256,-94.59278298379458
25,ON,5,6.659504258276699,1987-05-04,48.859937599123256,-94.59278298379458
26,ON,5,6.659504258276699,1987-05-05,48.859937599123256,-94.59278298379458
27,ON,5,6.659504258276699,1987-05-06,48.859937599123256,-94.59278298379458
28,ON,5,6.659504258276699,1987-05-07,48.859937599123256,-94.59278298379458
29,ON,5,6.659504258276699,1987-05-08,48.859937599123256,-94.59278298379458
30,ON,5,6.659504258276699,1987-05-09,48.859937599123256,-94.59278298379458
31,ON,5,6.659504258276699,1987-05-10,48.859937599123256,-94.59278298379458
32,ON,5,6.659504258276699,1987-05-11,48.859937599123256,-94.59278298379458
33,ON,5,6.659504258276699,1987-05-12,48.859937599123256,-94.59278298379458
34,ON,5,6.659504258276699,1987-05-13,48.859937599123256,-94.59278298379458
35,ON,5,6.659504258276699,1987-05-14,48.859937599123256,-94.59278298379458
36,ON,5,6.659504258276699,1987-05-15,48.859937599123256,-94.59278298379458
37,ON,5,6.659504258276699,1987-05-16,48.859937599123256,-94.59278298379458
38,ON,5,6.659504258276699,1987-05-17,48.859937599123256,-94.59278298379458
39,ON,5,6.659504258276699,1987-05-18,48.859937599123256,-94.59278298379458
40,ON,5,6.659504258276699,1987-05-19,48.859937599123256,-94.59278298379458
41,ON,5,6.659504258276699,1987-05-20,48.859937599123256,-94.59278298379458
42,ON,5,6.659504258276699,1987-05-21,48.859937599123256,-94.59278298379458
43,ON,5,6.659504258276699,1987-05-22,48.859937599123256,-94.59278298379458
44,ON,5,6.659504258276699,1987-05-23,48.859937599123256,-94.59278298379458
45,ON,5,6.659504258276699,1987-05-24,48.859937599123256,-94.59278298379458
46,ON,5,6.659504258276699,1987-05-25,48.859937599123256,-94.59278298379458
47,ON,5,6.659504258276699,1987-05-26,48.859937599123256,-94.59278298379458
48,ON,5,6.659504258276699,1987-05-27,48.859937599123256,-94.59278298379458
49,ON,5,6.659504258276699,1987-05-28,48.859937599123256,-94.59278298379458
50,ON,5,6.659504258276699,1987-05-29,48.859937599123256,-94.59278298379458
51,ON,5,6.659504258276699,1987-05-30,48.859937599123256,-94.59278298379458
52,ON,5,6.659504258276699,1987-05-31,48.859937599123256,-94.59278298379458
53,ON,5,6.659504258276699,1987-06-01,48.859937599123256,-94.59278298379458
54,ON,5,6.659504258276699,1987-06-02,48.859937599123256,-94.59278298379458
55,ON,5,6.659504258276699,1987-06-03,48.859937599123256,-94.59278298379458
56,ON,5,6.659504258276699,1987-06-04,48.859937599123256,-94.59278298379458
57,ON,5,6.659504258276699,1987-06-05,48.859937599123256,-94.59278298379458
58,ON,5,6.659504258276699,1987-06-06,48.859937599123256,-94.59278298379458
59,ON,5,6.659504258276699,1987-06-07,48.859937599123256,-94.59278298379458
60,ON,5,6.659504258276699,1987-06-08,48.859937599123256,-94.59278298379458
61,ON,5,6.659504258276699,1987-06-09,48.859937599123256,-94.59278298379458
62,ON,5,6.659504258276699,1987-06-10,48.859937599123256,-94.59278298379458
63,ON,5,6.659504258276699,1987-06-11,48.859937599123256,-94.59278298379458
64,ON,5,6.659504258276699,1987-06-12,48.859937599123256,-94.59278298379458
65,ON,5,6.659504258276699,1987-06-13,48.859937599123256,-94.59278298379458
66,ON,5,6.659504258276699,1987-06-14,48.859937599123256,-94.59278298379458
67,ON,5,6.659504258276699,1987-06-15,48.859937599123256,-94.59278298379458
68,ON,5,6.659504258276699,1987-06-16,48.859937599123256,-94.59278298379458
69,ON,5,6.659504258276699,1987-06-17,48.859937599123256,-94.59278298379458
