,StationID,Date,StationName,AverageTemp,MaxGust,MaxRelHumidity,ProvinceShort
13721,535,2014-10-15,OOTSA L SKINS L SPILLWAY,2.5,,,BC
13722,557,2004-08-20,FRASER LAKE NORTH SHORE,20.8,,,BC
13723,4132,2002-08-30,SUDBURY A,19.9,32.0,84.0,ON
13724,47071,2020-09-21,EAGLESHAM AGCM,9.2,40.0,95.0,AB
13725,655,2019-08-22,VANDERHOOF,13.8,,,BC
13726,3945,1992-09-21,RAINY RIVER-COOPER,12.0,,,ON
13727,51538,2021-11-03,FORT ST JAMES AUTO,5.7,,97.0,BC
13728,5017,2010-06-01,CASTLE ROCK 6 NORTH,16.0,,,BC
13729,1275,2006-07-27,KAMLOOPS A,27.2,0.0,,BC
13730,47087,2012-07-06,LA GLACE AGCM,13.3,0.0,94.0,AB
13731,47147,2021-07-18,LA CRETE AGCM,12.9,,97.0,AB
13732,1043,2003-08-19,OSOYOOS WEST,24.5,,,BC
13733,10663,2004-10-10,COLLINS BAY CAMECO,5.5,,,SK
13734,10890,2015-09-15,CROWSNEST,6.7,37.0,,AB
13735,10217,2018-07-31,GILLAM A,12.1,32.0,,MB
13736,51798,2014-06-20,WASECA RCS,14.9,0.0,,SK
13737,266,2017-08-30,PORT ALBERNI COX LAKE,18.5,,,BC
13738,6873,1998-07-17,COLLINS BAY CAMECO,14.5,,,SK
13739,50622,2019-06-02,HIGH LEVEL A,13.2,46.0,95.0,AB
13740,1518,2009-07-17,BEAVER CREEK A,14.8,,,YT
13741,3394,2006-11-19,STONY RAPIDS A,-16.2,59.0,,SK
13742,1309,2021-09-13,100 MILE HOUSE 6NE,9.0,,,BC
13743,3945,1995-05-14,RAINY RIVER,11.3,,,ON
13744,50777,2015-08-27,SLAVE LAKE RCS,15.2,35.0,,AB
13745,47147,2012-07-06,LA CRETE AGCM,18.9,54.0,82.0,AB
13746,10881,2008-11-09,OAKPOINT MARINE,-7.0,0.0,,MB
13747,47087,2012-07-09,LA GLACE AGCM,20.2,0.0,95.0,AB
13748,48948,2011-05-20,EDSON,11.2,0.0,,AB
13749,8935,2014-07-18,FORT RELIANCE (AUT),10.8,0.0,,NT
13750,10881,2015-05-26,OAKPOINT MARINE,18.7,39.0,,MB
13751,3945,1991-11-18,RAINY RIVER-COOPER,2.0,,,ON
13752,655,2010-08-09,VANDERHOOF,17.0,,,BC
13753,1518,2004-12-08,BEAVER CREEK A,-33.8,,,YT
13754,655,2017-05-03,VANDERHOOF,14.0,,,BC
13755,536,2016-07-12,PEMBERTON AIRPORT CS,16.2,,,BC
13756,3867,1998-05-23,NORWAY HOUSE FORESTRY,16.0,,,MB
13757,3867,1998-08-16,NORWAY HOUSE FORESTRY,17.0,,,MB
13758,650,2017-05-27,SPOKIN LAKE 4E,12.5,,,BC
13759,52602,2022-09-26,FORT GOOD HOPE A,3.5,,100.0,NT
13760,7534,2022-08-21,BUFFALO NARROWS (AUT),19.2,32.0,83.0,SK
13761,655,2018-06-15,VANDERHOOF,13.5,,,BC
13762,2592,2003-09-11,ROUND HILL LO,,,,AB
13763,51798,2014-10-16,WASECA RCS,,0.0,,SK
13764,10963,2017-07-26,CAP-ROUGE,,39.0,,QC
13765,3394,2002-06-26,STONY RAPIDS A,19.3,0.0,,SK
13766,47147,2012-07-09,LA CRETE AGCM,24.3,32.0,78.0,AB
13767,655,2017-10-14,VANDERHOOF,5.8,,,BC
13768,1518,2004-07-07,BEAVER CREEK A,15.0,,,YT
13769,536,2016-09-05,PEMBERTON AIRPORT CS,14.0,,,BC
13770,47087,2010-06-23,LA GLACE AGCM,15.8,0.0,95.0,AB
13771,1656,1995-09-26,FORT SIMPSON A,11.4,0.0,97.0,NT
13772,1525,2005-01-07,BURWASH A,-4.5,,,YT
13773,655,2017-10-24,VANDERHOOF,8.8,,,BC
13774,52398,2018-08-05,CLEARWATER AUTO,20.5,,83.0,BC
13775,8092,2010-06-10,PUNTZI MOUNTAIN (AUT),13.3,37.0,96.0,BC
13776,650,2017-06-28,SPOKIN LAKE 4E,9.8,,,BC
13777,1525,2004-10-15,BURWASH A,0.8,,,YT
13778,3742,1989-06-08,GREAT FALLS,12.3,,,MB
13779,7534,2018-09-13,BUFFALO NARROWS (AUT),2.9,42.0,87.0,SK
13780,3945,1992-01-05,RAINY RIVER-COOPER,-1.0,,,ON
13781,50757,2022-07-20,FORT CHIPEWYAN RCS,16.0,56.0,81.0,AB
13782,41884,2013-07-27,FORT SMITH CLIMATE,18.9,0.0,92.0,NT
13783,2778,1998-08-07,PETITOT LO,13.5,,,AB
13784,47087,2010-06-25,LA GLACE AGCM,13.7,50.0,92.0,AB
13785,10881,2015-08-02,OAKPOINT MARINE,18.4,56.0,,MB
13786,3858,2007-05-13,FLIN FLON A,12.5,,,MB
13787,536,2016-08-18,PEMBERTON AIRPORT CS,24.0,,,BC
13788,8092,2017-07-27,PUNTZI MOUNTAIN (AUT),15.8,35.0,,BC
13789,2592,2003-08-30,ROUND HILL LO,16.8,,,AB
13790,47087,2012-06-24,LA GLACE AGCM,17.8,33.0,86.0,AB
13791,3945,1992-09-30,RAINY RIVER-COOPER,12.0,,,ON
13792,30494,2017-08-03,TATLAYOKO LAKE RCS,18.5,33.0,,BC
13793,3945,1995-04-12,RAINY RIVER,5.0,,,ON
13794,1115,2021-09-22,DUNCAN LAKE DAM,9.5,,,BC
13795,44343,2014-08-27,MINE CENTRE SOUTHWEST,14.5,,,ON
13796,557,2004-09-09,FRASER LAKE NORTH SHORE,4.3,,,BC
13797,8214,2018-10-01,BLUE RIVER CS,1.4,33.0,,BC
13798,1525,2011-07-18,BURWASH A,12.0,,,YT
13799,47087,2010-04-17,LA GLACE AGCM,9.5,35.0,88.0,AB
13800,3945,1993-07-05,RAINY RIVER-COOPER,18.3,,,ON
13801,8872,2006-05-02,WATERTON RED ROCK,2.3,,,AB
13802,10941,2006-05-05,KEY LAKE A,7.3,,,SK
13803,54658,2018-06-15,CROSS LAKE JENPEG 2,17.6,0.0,,MB
13804,2632,2011-11-14,WHITECOURT A,-4.1,,,AB
13805,10186,2017-09-04,PINAWA CANWARN,,,,MB
13806,10188,2015-08-30,SWAN RIVER RCS,19.2,0.0,,MB
13807,8979,2010-10-03,ROCK RIVER,4.9,0.0,,YT
13808,53022,2019-06-11,DAWSON CITY A,13.6,,82.0,YT
13809,54658,2018-06-07,CROSS LAKE JENPEG 2,15.1,0.0,,MB
13810,655,2018-09-11,VANDERHOOF,11.8,,,BC
13811,3775,2017-06-27,BEAVER MINES,18.6,69.0,,AB
13812,3945,1997-03-12,RAINY RIVER,-17.3,,,ON
13813,2592,2003-09-01,ROUND HILL LO,12.8,,,AB
13814,1091,2015-05-28,MIDWAY,18.3,,,BC
13815,51798,2014-07-12,WASECA RCS,16.9,0.0,,SK
13816,47147,2012-06-24,LA CRETE AGCM,17.7,39.0,88.0,AB
13817,51538,2017-08-25,FORT ST JAMES AUTO,12.3,0.0,,BC
13818,536,2016-09-03,PEMBERTON AIRPORT CS,16.1,,,BC
13819,3923,1988-08-11,RED LAKE A,19.4,0.0,,ON
13820,47087,2015-07-02,LA GLACE AGCM,,0.0,,AB
13821,10867,2022-09-02,COLVILLE LAKE A,14.4,32.0,95.0,NT
13822,10663,2004-09-22,COLLINS BAY CAMECO,6.5,,,SK
13823,655,2019-05-05,VANDERHOOF,9.3,,,BC
13824,3945,1991-12-12,RAINY RIVER-COOPER,-3.5,,,ON
13825,3641,2012-07-20,OAKBANK,,,,MB
13826,48568,2017-07-05,FREDERICTON INTL A,18.2,0.0,,NB
13827,541,2006-07-19,PUNTCHESAKUT LAKE,12.5,,,BC
13828,47087,2012-08-12,LA GLACE AGCM,13.8,0.0,95.0,AB
13829,1309,2021-11-08,100 MILE HOUSE 6NE,-1.0,,,BC
13830,10760,2005-07-22,LITTLE CHICAGO,7.9,,,NT
13831,3667,2014-08-28,ST LABRE,,,,MB
13832,1518,2004-09-16,BEAVER CREEK A,-1.5,,,YT
