"",FireProvinceShort,BurnIncidentID,HectaresBurnt,Date,FireLatitude,FireLongitude,ClosestStationID
0,ON,5,6.659504258276699,1987-04-09,48.859937599123256,-94.59278298379458,3944
1,ON,5,6.659504258276699,1987-04-10,48.859937599123256,-94.59278298379458,3944
2,ON,5,6.659504258276699,1987-04-11,48.859937599123256,-94.59278298379458,3944
3,ON,5,6.659504258276699,1987-04-12,48.859937599123256,-94.59278298379458,3944
4,ON,5,6.659504258276699,1987-04-13,48.859937599123256,-94.59278298379458,3944
5,ON,5,6.659504258276699,1987-04-14,48.859937599123256,-94.59278298379458,3944
6,ON,5,6.659504258276699,1987-04-15,48.859937599123256,-94.59278298379458,3944
7,ON,5,6.659504258276699,1987-04-16,48.859937599123256,-94.59278298379458,3944
8,ON,5,6.659504258276699,1987-04-17,48.859937599123256,-94.59278298379458,3944
9,ON,5,6.659504258276699,1987-04-18,48.859937599123256,-94.59278298379458,3944
10,ON,5,6.659504258276699,1987-04-19,48.859937599123256,-94.59278298379458,3944
11,ON,5,6.659504258276699,1987-04-20,48.859937599123256,-94.59278298379458,3944
12,ON,5,6.659504258276699,1987-04-21,48.859937599123256,-94.59278298379458,3944
13,ON,5,6.659504258276699,1987-04-22,48.859937599123256,-94.59278298379458,3944
14,ON,5,6.659504258276699,1987-04-23,48.859937599123256,-94.59278298379458,3944
15,ON,5,6.659504258276699,1987-04-24,48.859937599123256,-94.59278298379458,3944
16,ON,5,6.659504258276699,1987-04-25,48.859937599123256,-94.59278298379458,3944
17,ON,5,6.659504258276699,1987-04-26,48.859937599123256,-94.59278298379458,3944
18,ON,5,6.659504258276699,1987-04-27,48.859937599123256,-94.59278298379458,3944
19,ON,5,6.659504258276699,1987-04-28,48.859937599123256,-94.59278298379458,3944
20,ON,5,6.659504258276699,1987-04-29,48.859937599123256,-94.59278298379458,3944
21,ON,5,6.659504258276699,1987-04-30,48.859937599123256,-94.59278298379458,3944
22,ON,5,6.659504258276699,1987-05-01,48.859937599123256,-94.59278298379458,3944
23,ON,5,6.659504258276699,1987-05-02,48.859937599123256,-94.59278298379458,3944
24,ON,5,6.659504258276699,1987-05-03,48.859937599123256,-94.59278298379458,3944
25,ON,5,6.659504258276699,1987-05-04,48.859937599123256,-94.59278298379458,3944
26,ON,5,6.659504258276699,1987-05-05,48.859937599123256,-94.59278298379458,3944
27,ON,5,6.659504258276699,1987-05-06,48.859937599123256,-94.59278298379458,3944
28,ON,5,6.659504258276699,1987-05-07,48.859937599123256,-94.59278298379458,3944
29,ON,5,6.659504258276699,1987-05-08,48.859937599123256,-94.59278298379458,3944
30,ON,5,6.659504258276699,1987-05-09,48.859937599123256,-94.59278298379458,3944
31,ON,5,6.659504258276699,1987-05-10,48.859937599123256,-94.59278298379458,3944
32,ON,5,6.659504258276699,1987-05-11,48.859937599123256,-94.59278298379458,3944
33,ON,5,6.659504258276699,1987-05-12,48.859937599123256,-94.59278298379458,3944
34,ON,5,6.659504258276699,1987-05-13,48.859937599123256,-94.59278298379458,3944
