x,y,PROVINCE_CODE,CLIMATE_IDENTIFIER,SPEED_MAX_GUST,MAX_REL_HUMIDITY,STATION_NAME,MEAN_TEMPERATURE,LOCAL_DATE
-81.98197,45.690016666666665,ON,6097426,,,SANDFIELD,1.8,2010-11-03 00:00:00
-81.98197,45.690016666666665,ON,6097426,,,SANDFIELD,-9,2000-12-05 00:00:00
-81.98197,45.690016666666665,ON,6097426,,,SANDFIELD,15.3,2006-07-05 00:00:00
-81.98197,45.690016666666665,ON,6097426,,,SANDFIELD,7.8,2008-04-16 00:00:00
-81.98197,45.690016666666665,ON,6097426,,,SANDFIELD,-7,2012-12-22 00:00:00
-81.98197,45.690016666666665,ON,6097426,,,SANDFIELD,12.5,2007-05-15 00:00:00
-81.98197,45.690016666666665,ON,6097426,,,SANDFIELD,-8,2015-03-04 00:00:00
-81.98197,45.690016666666665,ON,6097426,,,SANDFIELD,-16.8,2004-01-19 00:00:00
-81.98197,45.690016666666665,ON,6097426,,,SANDFIELD,16.5,2017-06-08 00:00:00
-81.98197,45.690016666666665,ON,6097426,,,SANDFIELD,21,2016-06-17 00:00:00
-81.98197,45.690016666666665,ON,6097426,,,SANDFIELD,-4.5,2008-02-25 00:00:00
-81.98197,45.690016666666665,ON,6097426,,,SANDFIELD,10,2011-09-14 00:00:00
-81.98197,45.690016666666665,ON,6097426,,,SANDFIELD,15.5,2016-06-04 00:00:00
-81.98197,45.690016666666665,ON,6097426,,,SANDFIELD,4.3,2009-10-22 00:00:00
-81.98197,45.690016666666665,ON,6097426,,,SANDFIELD,-3.3,2003-12-14 00:00:00
-81.98197,45.690016666666665,ON,6097426,,,SANDFIELD,15,2012-10-25 00:00:00
-81.98197,45.690016666666665,ON,6097426,,,SANDFIELD,2,1998-11-22 00:00:00
-81.98197,45.690016666666665,ON,6097426,,,SANDFIELD,10.5,2001-05-15 00:00:00
-81.98197,45.690016666666665,ON,6097426,,,SANDFIELD,22.3,2004-09-03 00:00:00
-81.98197,45.690016666666665,ON,6097426,,,SANDFIELD,15,1998-05-04 00:00:00
-81.98197,45.690016666666665,ON,6097426,,,SANDFIELD,2.3,2002-10-24 00:00:00
-81.98197,45.690016666666665,ON,6097426,,,SANDFIELD,20,2017-06-30 00:00:00
-81.98197,45.690016666666665,ON,6097426,,,SANDFIELD,-22,2015-02-01 00:00:00
-81.98197,45.690016666666665,ON,6097426,,,SANDFIELD,-4.5,2010-03-03 00:00:00
-81.98197,45.690016666666665,ON,6097426,,,SANDFIELD,-9.8,2008-02-01 00:00:00
-81.98197,45.690016666666665,ON,6097426,,,SANDFIELD,18,2015-06-29 00:00:00
-81.98197,45.690016666666665,ON,6097426,,,SANDFIELD,7,2015-10-10 00:00:00
-81.98197,45.690016666666665,ON,6097426,,,SANDFIELD,3.5,2014-04-11 00:00:00
-81.98197,45.690016666666665,ON,6097426,,,SANDFIELD,-0.3,2002-12-27 00:00:00
-81.98197,45.690016666666665,ON,6097426,,,SANDFIELD,16,2007-09-08 00:00:00
-81.98197,45.690016666666665,ON,6097426,,,SANDFIELD,-2,2003-12-11 00:00:00
-81.98197,45.690016666666665,ON,6097426,,,SANDFIELD,6.3,2006-10-22 00:00:00
-81.98197,45.690016666666665,ON,6097426,,,SANDFIELD,10.8,2011-05-14 00:00:00
-81.98197,45.690016666666665,ON,6097426,,,SANDFIELD,3,2005-11-11 00:00:00
-81.98197,45.690016666666665,ON,6097426,,,SANDFIELD,19.8,2008-07-25 00:00:00
-81.98197,45.690016666666665,ON,6097426,,,SANDFIELD,15.8,2008-06-21 00:00:00
-81.98197,45.690016666666665,ON,6097426,,,SANDFIELD,7.3,2004-05-07 00:00:00
-81.98197,45.690016666666665,ON,6097426,,,SANDFIELD,11.3,2009-10-05 00:00:00
-81.98197,45.690016666666665,ON,6097426,,,SANDFIELD,-1.5,2012-02-14 00:00:00
-81.98197,45.690016666666665,ON,6097426,,,SANDFIELD,2.5,2007-11-25 00:00:00
-81.98197,45.690016666666665,ON,6097426,,,SANDFIELD,21,2009-08-16 00:00:00
-81.98197,45.690016666666665,ON,6097426,,,SANDFIELD,5,2014-04-27 00:00:00
-81.98197,45.690016666666665,ON,6097426,,,SANDFIELD,-4.5,2014-12-01 00:00:00
-81.98197,45.690016666666665,ON,6097426,,,SANDFIELD,-2,2014-12-17 00:00:00
