x,y,PROVINCE_CODE,CLIMATE_IDENTIFIER,SPEED_MAX_GUST,MAX_REL_HUMIDITY,STATION_NAME,MEAN_TEMPERATURE,LOCAL_DATE
-133.94166666666666,68.91083333333333,NT,220LQJJ,,,STORM HILLS,-12.6,2014-02-03 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,,STORM HILLS,-9.3,2014-02-06 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,,STORM HILLS,-9,2014-02-04 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,,STORM HILLS,-24.4,2014-02-10 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,,STORM HILLS,-25.4,2014-02-08 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,,STORM HILLS,-8.8,2014-02-05 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,,STORM HILLS,-16.4,2014-02-07 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,,STORM HILLS,-25.9,2014-01-15 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,,STORM HILLS,-28.3,2021-02-01 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,73,STORM HILLS,-35.3,2021-02-09 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,33,70,STORM HILLS,-38.2,2021-02-08 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,75,STORM HILLS,-30.6,2021-02-18 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,78,STORM HILLS,-29.9,2021-02-16 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,81,STORM HILLS,-24.9,2021-02-15 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,61,77,STORM HILLS,-31.5,2021-02-07 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,74,STORM HILLS,-33.6,2021-02-03 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,,79,STORM HILLS,-31,2021-02-02 00:00:00
-133.94166666666666,68.91083333333333,NT,220LQJJ,46,78,STORM HILLS,-32.3,2021-02-05 00:00:00
