x,y,CLIMATE_IDENTIFIER,SPEED_MAX_GUST,PROVINCE_CODE,LOCAL_DATE,STATION_NAME,MAX_REL_HUMIDITY,MEAN_TEMPERATURE
-70.78083333333333,47.07861111111111,7041JG6,37,QC,1993-10-24 00:00:00,CAP-TOURMENTE,,4.6
-70.78083333333333,47.07861111111111,7041JG6,35,QC,1993-10-25 00:00:00,CAP-TOURMENTE,,2.2
-70.78083333333333,47.07861111111111,7041JG6,32,QC,1993-10-26 00:00:00,CAP-TOURMENTE,,1.4
-70.78083333333333,47.07861111111111,7041JG6,0,QC,1993-10-27 00:00:00,CAP-TOURMENTE,,3.9
-70.78083333333333,47.07861111111111,7041JG6,33,QC,1993-10-28 00:00:00,CAP-TOURMENTE,,3.4
-70.78083333333333,47.07861111111111,7041JG6,0,QC,1993-10-29 00:00:00,CAP-TOURMENTE,,3.4
-70.78083333333333,47.07861111111111,7041JG6,37,QC,1993-10-30 00:00:00,CAP-TOURMENTE,,6.3
-70.78083333333333,47.07861111111111,7041JG6,41,QC,1993-10-31 00:00:00,CAP-TOURMENTE,,3.6
-70.78083333333333,47.07861111111111,7041JG6,56,QC,1993-11-01 00:00:00,CAP-TOURMENTE,,0.1
-70.78083333333333,47.07861111111111,7041JG6,35,QC,1993-11-02 00:00:00,CAP-TOURMENTE,,-0.8
-70.78083333333333,47.07861111111111,7041JG6,0,QC,1993-11-03 00:00:00,CAP-TOURMENTE,,-0.3
-70.78083333333333,47.07861111111111,7041JG6,0,QC,1993-11-04 00:00:00,CAP-TOURMENTE,,2.1
-70.78083333333333,47.07861111111111,7041JG6,35,QC,1993-11-05 00:00:00,CAP-TOURMENTE,,3.5
-70.78083333333333,47.07861111111111,7041JG6,44,QC,1993-11-06 00:00:00,CAP-TOURMENTE,,3
-70.78083333333333,47.07861111111111,7041JG6,37,QC,1993-11-07 00:00:00,CAP-TOURMENTE,,-1.7
-70.78083333333333,47.07861111111111,7041JG6,35,QC,1993-11-08 00:00:00,CAP-TOURMENTE,,-0.1
-70.78083333333333,47.07861111111111,7041JG6,35,QC,1993-11-09 00:00:00,CAP-TOURMENTE,,1.4
-70.78083333333333,47.07861111111111,7041JG6,0,QC,1993-11-10 00:00:00,CAP-TOURMENTE,,-1
-70.78083333333333,47.07861111111111,7041JG6,0,QC,1993-11-11 00:00:00,CAP-TOURMENTE,,-1.4
