x,y,CLIMATE_IDENTIFIER,SPEED_MAX_GUST,PROVINCE_CODE,LOCAL_DATE,STATION_NAME,MAX_REL_HUMIDITY,MEAN_TEMPERATURE
-66.60889166666666,45.92027777777778,8101605,,NB,2000-07-19 00:00:00,FREDERICTON CDA CS,,18
-66.60889166666666,45.92027777777778,8101605,,NB,2000-07-20 00:00:00,FREDERICTON CDA CS,,16.5
-66.60889166666666,45.92027777777778,8101605,,NB,2000-07-21 00:00:00,FREDERICTON CDA CS,,17.6
-66.60889166666666,45.92027777777778,8101605,,NB,2000-07-22 00:00:00,FREDERICTON CDA CS,,17
-66.60889166666666,45.92027777777778,8101605,,NB,2000-07-23 00:00:00,FREDERICTON CDA CS,,17.8
-66.60889166666666,45.92027777777778,8101605,,NB,2000-07-24 00:00:00,FREDERICTON CDA CS,,18.9
-66.60889166666666,45.92027777777778,8101605,,NB,2000-07-25 00:00:00,FREDERICTON CDA CS,,20.9
-66.60889166666666,45.92027777777778,8101605,,NB,2000-07-26 00:00:00,FREDERICTON CDA CS,,21.1
-66.60889166666666,45.92027777777778,8101605,,NB,2000-07-27 00:00:00,FREDERICTON CDA CS,,18.3
-66.60889166666666,45.92027777777778,8101605,,NB,2000-07-28 00:00:00,FREDERICTON CDA CS,,19.2
-66.60889166666666,45.92027777777778,8101605,,NB,2000-07-29 00:00:00,FREDERICTON CDA CS,,21.7
-66.60889166666666,45.92027777777778,8101605,,NB,2000-07-30 00:00:00,FREDERICTON CDA CS,,20.5
-66.60889166666666,45.92027777777778,8101605,,NB,2000-07-31 00:00:00,FREDERICTON CDA CS,,18.3
-66.60889166666666,45.92027777777778,8101605,,NB,2000-08-01 00:00:00,FREDERICTON CDA CS,,19
-66.60889166666666,45.92027777777778,8101605,,NB,2000-08-02 00:00:00,FREDERICTON CDA CS,,16.3
-66.60889166666666,45.92027777777778,8101605,,NB,2000-08-03 00:00:00,FREDERICTON CDA CS,,21.6
-66.60889166666666,45.92027777777778,8101605,,NB,2000-08-04 00:00:00,FREDERICTON CDA CS,,21.7
-66.60889166666666,45.92027777777778,8101605,,NB,2000-08-05 00:00:00,FREDERICTON CDA CS,,17.9
-66.60889166666666,45.92027777777778,8101605,,NB,2000-08-06 00:00:00,FREDERICTON CDA CS,,19.7
-66.60889166666666,45.92027777777778,8101605,,NB,2000-08-07 00:00:00,FREDERICTON CDA CS,,17.6
-66.60889166666666,45.92027777777778,8101605,,NB,2000-08-08 00:00:00,FREDERICTON CDA CS,,22.7
-66.60889166666666,45.92027777777778,8101605,,NB,2000-08-09 00:00:00,FREDERICTON CDA CS,,19
-66.60889166666666,45.92027777777778,8101605,,NB,2000-08-10 00:00:00,FREDERICTON CDA CS,,21.3
-66.60889166666666,45.92027777777778,8101605,,NB,2000-08-11 00:00:00,FREDERICTON CDA CS,,18.4
-66.60889166666666,45.92027777777778,8101605,,NB,2000-08-12 00:00:00,FREDERICTON CDA CS,,19
-66.60889166666666,45.92027777777778,8101605,,NB,2000-08-13 00:00:00,FREDERICTON CDA CS,,18.9
-66.60889166666666,45.92027777777778,8101605,,NB,2000-08-14 00:00:00,FREDERICTON CDA CS,,18.8
-66.60889166666666,45.92027777777778,8101605,,NB,2000-08-15 00:00:00,FREDERICTON CDA CS,,21.7
-66.60889166666666,45.92027777777778,8101605,,NB,2000-08-16 00:00:00,FREDERICTON CDA CS,,20.7
-66.60889166666666,45.92027777777778,8101605,,NB,2000-08-17 00:00:00,FREDERICTON CDA CS,,18.1
-66.60889166666666,45.92027777777778,8101605,,NB,2000-08-18 00:00:00,FREDERICTON CDA CS,,15.9
-66.60889166666666,45.92027777777778,8101605,,NB,2000-08-19 00:00:00,FREDERICTON CDA CS,,15.9
-66.60889166666666,45.92027777777778,8101605,,NB,2000-08-20 00:00:00,FREDERICTON CDA CS,,16
-66.60889166666666,45.92027777777778,8101605,,NB,2000-08-21 00:00:00,FREDERICTON CDA CS,,17.1
-66.60889166666666,45.92027777777778,8101605,,NB,2000-08-22 00:00:00,FREDERICTON CDA CS,,17.2
-66.60889166666666,45.92027777777778,8101605,,NB,2000-08-23 00:00:00,FREDERICTON CDA CS,,17.2
-66.60889166666666,45.92027777777778,8101605,,NB,2000-08-24 00:00:00,FREDERICTON CDA CS,,18.9
