x,y,STATION_NAME,LOCAL_DATE,CLIMATE_IDENTIFIER,SPEED_MAX_GUST,PROVINCE_CODE,MEAN_TEMPERATURE,MAX_REL_HUMIDITY
-120.4486111111111,50.7025,KAMLOOPS A,2013-06-13 00:00:00,1163781,41,BC,15.5,
-120.4486111111111,50.7025,KAMLOOPS A,2013-06-28 00:00:00,1163781,35,BC,22.4,
-120.4486111111111,50.7025,KAMLOOPS A,2013-06-30 00:00:00,1163781,0,BC,25.7,
-120.4486111111111,50.7025,KAMLOOPS A,2013-06-16 00:00:00,1163781,76,BC,20.6,
-120.4486111111111,50.7025,KAMLOOPS A,2013-06-15 00:00:00,1163781,0,BC,17.7,
-120.4486111111111,50.7025,KAMLOOPS A,2013-06-18 00:00:00,1163781,44,BC,18.5,
-120.4486111111111,50.7025,KAMLOOPS A,2013-06-17 00:00:00,1163781,63,BC,21.2,
-120.4486111111111,50.7025,KAMLOOPS A,2013-06-20 00:00:00,1163781,43,BC,15.2,
-120.4486111111111,50.7025,KAMLOOPS A,2013-06-14 00:00:00,1163781,48,BC,17.2,
-120.4486111111111,50.7025,KAMLOOPS A,2013-06-27 00:00:00,1163781,44,BC,18,
-120.4486111111111,50.7025,KAMLOOPS A,2013-06-21 00:00:00,1163781,35,BC,19.4,
-120.4486111111111,50.7025,KAMLOOPS A,2013-06-23 00:00:00,1163781,0,BC,19.8,
-120.4486111111111,50.7025,KAMLOOPS A,2013-06-22 00:00:00,1163781,35,BC,18.3,
-120.4486111111111,50.7025,KAMLOOPS A,2013-06-25 00:00:00,1163781,46,BC,16.4,
-120.4486111111111,50.7025,KAMLOOPS A,2013-06-19 00:00:00,1163781,33,BC,14.4,
-120.4486111111111,50.7025,KAMLOOPS A,2013-06-26 00:00:00,1163781,46,BC,19.1,
-120.4486111111111,50.7025,KAMLOOPS A,2013-06-29 00:00:00,1163781,46,BC,23.2,
-120.4486111111111,50.7025,KAMLOOPS A,2013-07-18 00:00:00,1163781,0,BC,23.5,
-120.4486111111111,50.7025,KAMLOOPS A,2013-07-15 00:00:00,1163781,39,BC,19.7,
-120.4486111111111,50.7025,KAMLOOPS A,2013-07-10 00:00:00,1163781,52,BC,23,
-120.4486111111111,50.7025,KAMLOOPS A,2013-07-13 00:00:00,1163781,35,BC,17.3,
-120.4486111111111,50.7025,KAMLOOPS A,2013-07-14 00:00:00,1163781,78,BC,18.3,
-120.4486111111111,50.7025,KAMLOOPS A,2013-07-02 00:00:00,1163781,52,BC,27.6,
-120.4486111111111,50.7025,KAMLOOPS A,2013-07-06 00:00:00,1163781,48,BC,21.3,
-120.4486111111111,50.7025,KAMLOOPS A,2013-07-01 00:00:00,1163781,35,BC,28,
-120.4486111111111,50.7025,KAMLOOPS A,2013-07-04 00:00:00,1163781,39,BC,22.3,
-120.4486111111111,50.7025,KAMLOOPS A,2013-07-05 00:00:00,1163781,43,BC,23.3,
-120.4486111111111,50.7025,KAMLOOPS A,2013-07-11 00:00:00,1163781,48,BC,17.3,
-120.4486111111111,50.7025,KAMLOOPS A,2013-07-16 00:00:00,1163781,0,BC,20.7,
-120.4486111111111,50.7025,KAMLOOPS A,2013-07-17 00:00:00,1163781,0,BC,18.6,
-120.4486111111111,50.7025,KAMLOOPS A,2013-07-07 00:00:00,1163781,35,BC,20.6,
-120.4486111111111,50.7025,KAMLOOPS A,2013-07-12 00:00:00,1163781,33,BC,16,
-120.4486111111111,50.7025,KAMLOOPS A,2013-07-27 00:00:00,1163781,50,BC,23.6,
-120.4486111111111,50.7025,KAMLOOPS A,2013-07-19 00:00:00,1163781,0,BC,24.9,
-120.4486111111111,50.7025,KAMLOOPS A,2013-07-21 00:00:00,1163781,37,BC,26.3,
-120.4486111111111,50.7025,KAMLOOPS A,2013-07-23 00:00:00,1163781,0,BC,25.5,
-120.4486111111111,50.7025,KAMLOOPS A,2013-07-30 00:00:00,1163781,35,BC,21.8,
-120.4486111111111,50.7025,KAMLOOPS A,2013-07-24 00:00:00,1163781,0,BC,26.3,
-120.4486111111111,50.7025,KAMLOOPS A,2013-07-20 00:00:00,1163781,35,BC,25.9,
-120.4486111111111,50.7025,KAMLOOPS A,2013-07-25 00:00:00,1163781,44,BC,25,
-120.4486111111111,50.7025,KAMLOOPS A,2013-07-29 00:00:00,1163781,50,BC,22.9,
-120.4486111111111,50.7025,KAMLOOPS A,2013-07-31 00:00:00,1163781,35,BC,23.8,
-120.4486111111111,50.7025,KAMLOOPS A,2013-07-22 00:00:00,1163781,43,BC,26,
-120.4486111111111,50.7025,KAMLOOPS A,2013-07-26 00:00:00,1163781,63,BC,26.2,
-120.4486111111111,50.7025,KAMLOOPS A,2013-07-28 00:00:00,1163781,39,BC,22,
-120.4486111111111,50.7025,KAMLOOPS A,2013-08-02 00:00:00,1163781,57,BC,23.9,
-120.4486111111111,50.7025,KAMLOOPS A,2013-08-04 00:00:00,1163781,52,BC,24.3,
-120.4486111111111,50.7025,KAMLOOPS A,2013-08-03 00:00:00,1163781,44,BC,23.5,
-120.4486111111111,50.7025,KAMLOOPS A,2013-08-14 00:00:00,1163781,46,BC,22.5,
-120.4486111111111,50.7025,KAMLOOPS A,2013-08-22 00:00:00,1163781,0,BC,22.1,
-120.4486111111111,50.7025,KAMLOOPS A,2013-08-10 00:00:00,1163781,48,BC,27.4,
-120.4486111111111,50.7025,KAMLOOPS A,2013-08-20 00:00:00,1163781,0,BC,18.7,
-120.4486111111111,50.7025,KAMLOOPS A,2013-08-13 00:00:00,1163781,33,BC,24.2,
-120.4486111111111,50.7025,KAMLOOPS A,2013-08-17 00:00:00,1163781,46,BC,23.8,
-120.4486111111111,50.7025,KAMLOOPS A,2013-08-01 00:00:00,1163781,39,BC,24,
-120.4486111111111,50.7025,KAMLOOPS A,2013-08-07 00:00:00,1163781,0,BC,24.5,
-120.4486111111111,50.7025,KAMLOOPS A,2013-08-15 00:00:00,1163781,44,BC,23.4,
-120.4486111111111,50.7025,KAMLOOPS A,2013-08-21 00:00:00,1163781,0,BC,19.9,
-120.4486111111111,50.7025,KAMLOOPS A,2013-08-12 00:00:00,1163781,44,BC,24.6,
-120.4486111111111,50.7025,KAMLOOPS A,2013-08-19 00:00:00,1163781,54,BC,21.7,
-120.4486111111111,50.7025,KAMLOOPS A,2013-08-05 00:00:00,1163781,0,BC,23.9,
-120.4486111111111,50.7025,KAMLOOPS A,2013-08-09 00:00:00,1163781,33,BC,27.2,
-120.4486111111111,50.7025,KAMLOOPS A,2013-08-08 00:00:00,1163781,0,BC,26,
-120.4486111111111,50.7025,KAMLOOPS A,2013-08-16 00:00:00,1163781,46,BC,23.3,
-120.4486111111111,50.7025,KAMLOOPS A,2013-08-11 00:00:00,1163781,43,BC,25.5,
-120.4486111111111,50.7025,KAMLOOPS A,2013-08-23 00:00:00,1163781,48,BC,20.6,
-120.4486111111111,50.7025,KAMLOOPS A,2013-08-29 00:00:00,1163781,46,BC,17.9,
-120.4486111111111,50.7025,KAMLOOPS A,2013-08-24 00:00:00,1163781,43,BC,23,
-120.4486111111111,50.7025,KAMLOOPS A,2013-08-25 00:00:00,1163781,35,BC,19.6,
-120.4486111111111,50.7025,KAMLOOPS A,2013-08-26 00:00:00,1163781,63,BC,20.2,
-120.4486111111111,50.7025,KAMLOOPS A,2013-08-27 00:00:00,1163781,39,BC,20.3,
-120.4486111111111,50.7025,KAMLOOPS A,2013-08-31 00:00:00,1163781,0,BC,19.5,
-120.4486111111111,50.7025,KAMLOOPS A,2013-08-30 00:00:00,1163781,41,BC,19.8,
-120.4486111111111,50.7025,KAMLOOPS A,2013-09-21 00:00:00,1163781,43,BC,19.4,
-120.4486111111111,50.7025,KAMLOOPS A,2013-09-01 00:00:00,1163781,0,BC,22.5,
-120.4486111111111,50.7025,KAMLOOPS A,2013-09-30 00:00:00,1163781,61,BC,12.5,
-120.4486111111111,50.7025,KAMLOOPS A,2013-09-18 00:00:00,1163781,39,BC,16.8,
-120.4486111111111,50.7025,KAMLOOPS A,2013-09-04 00:00:00,1163781,0,BC,20.9,
-120.4486111111111,50.7025,KAMLOOPS A,2013-09-10 00:00:00,1163781,0,BC,20.8,
-120.4486111111111,50.7025,KAMLOOPS A,2013-09-11 00:00:00,1163781,0,BC,21.4,
-120.4486111111111,50.7025,KAMLOOPS A,2013-09-07 00:00:00,1163781,0,BC,19.4,
-120.4486111111111,50.7025,KAMLOOPS A,2013-09-19 00:00:00,1163781,39,BC,16,
-120.4486111111111,50.7025,KAMLOOPS A,2013-09-09 00:00:00,1163781,0,BC,21.4,
-120.4486111111111,50.7025,KAMLOOPS A,2013-09-14 00:00:00,1163781,0,BC,22.1,
-120.4486111111111,50.7025,KAMLOOPS A,2013-09-23 00:00:00,1163781,63,BC,14.4,
-120.4486111111111,50.7025,KAMLOOPS A,2013-09-13 00:00:00,1163781,0,BC,23.8,
-120.4486111111111,50.7025,KAMLOOPS A,2013-09-20 00:00:00,1163781,39,BC,18.8,
-120.4486111111111,50.7025,KAMLOOPS A,2013-09-17 00:00:00,1163781,32,BC,14.1,
-120.4486111111111,50.7025,KAMLOOPS A,2013-09-16 00:00:00,1163781,43,BC,19.7,
-120.4486111111111,50.7025,KAMLOOPS A,2013-09-03 00:00:00,1163781,33,BC,20.4,
-120.4486111111111,50.7025,KAMLOOPS A,2013-09-02 00:00:00,1163781,48,BC,22.7,
-120.4486111111111,50.7025,KAMLOOPS A,2013-09-28 00:00:00,1163781,61,BC,12.6,
-120.4486111111111,50.7025,KAMLOOPS A,2013-09-15 00:00:00,1163781,0,BC,22.6,
-120.4486111111111,50.7025,KAMLOOPS A,2013-09-22 00:00:00,1163781,35,BC,13.9,
-120.4486111111111,50.7025,KAMLOOPS A,2013-09-08 00:00:00,1163781,37,BC,22,
-120.4486111111111,50.7025,KAMLOOPS A,2013-09-24 00:00:00,1163781,0,BC,10.9,
-120.4486111111111,50.7025,KAMLOOPS A,2013-09-05 00:00:00,1163781,37,BC,21.4,
-120.4486111111111,50.7025,KAMLOOPS A,2013-09-25 00:00:00,1163781,48,BC,10.6,
-120.4486111111111,50.7025,KAMLOOPS A,2013-09-26 00:00:00,1163781,41,BC,12.7,
-120.4486111111111,50.7025,KAMLOOPS A,2013-09-12 00:00:00,1163781,0,BC,22.4,
-120.4486111111111,50.7025,KAMLOOPS A,2013-09-29 00:00:00,1163781,59,BC,14.5,
-120.4486111111111,50.7025,KAMLOOPS A,2013-09-27 00:00:00,1163781,46,BC,8.8,
-120.4486111111111,50.7025,KAMLOOPS A,2013-09-06 00:00:00,1163781,43,BC,20.2,
-120.4486111111111,50.7025,KAMLOOPS A,2013-10-27 00:00:00,1163781,56,BC,8.6,
-120.4486111111111,50.7025,KAMLOOPS A,2013-10-31 00:00:00,1163781,0,BC,4.5,
-120.4486111111111,50.7025,KAMLOOPS A,2013-10-21 00:00:00,1163781,0,BC,8.4,
-120.4486111111111,50.7025,KAMLOOPS A,2013-10-30 00:00:00,1163781,32,BC,3.5,
-120.4486111111111,50.7025,KAMLOOPS A,2013-10-04 00:00:00,1163781,39,BC,8.6,
-120.4486111111111,50.7025,KAMLOOPS A,2013-10-29 00:00:00,1163781,0,BC,1.7,
-120.4486111111111,50.7025,KAMLOOPS A,2013-10-15 00:00:00,1163781,0,BC,5.5,
-120.4486111111111,50.7025,KAMLOOPS A,2013-10-08 00:00:00,1163781,59,BC,10.3,
-120.4486111111111,50.7025,KAMLOOPS A,2013-10-26 00:00:00,1163781,0,BC,5.5,
-120.4486111111111,50.7025,KAMLOOPS A,2013-10-17 00:00:00,1163781,0,BC,6.5,
-120.4486111111111,50.7025,KAMLOOPS A,2013-10-06 00:00:00,1163781,41,BC,15.2,
-120.4486111111111,50.7025,KAMLOOPS A,2013-10-13 00:00:00,1163781,0,BC,7.5,
-120.4486111111111,50.7025,KAMLOOPS A,2013-10-11 00:00:00,1163781,0,BC,6.8,
-120.4486111111111,50.7025,KAMLOOPS A,2013-10-02 00:00:00,1163781,0,BC,6.3,
-120.4486111111111,50.7025,KAMLOOPS A,2013-10-19 00:00:00,1163781,0,BC,7.3,
-120.4486111111111,50.7025,KAMLOOPS A,2013-10-16 00:00:00,1163781,0,BC,8.3,
-120.4486111111111,50.7025,KAMLOOPS A,2013-10-14 00:00:00,1163781,0,BC,5.6,
-120.4486111111111,50.7025,KAMLOOPS A,2013-10-05 00:00:00,1163781,43,BC,11.6,
-120.4486111111111,50.7025,KAMLOOPS A,2013-10-24 00:00:00,1163781,0,BC,6.8,
-120.4486111111111,50.7025,KAMLOOPS A,2013-10-28 00:00:00,1163781,46,BC,5.6,
