Longitude,Latitude,Province,Name,Date,MEAN_TEMPERATURE,SPEED_MAX_GUST,MAX_REL_HUMIDITY,Climate ID,Station ID
-97.52833333333334,51.05278611111111,MB,FISHER BRANCH SOUTH,1988-07-28 00:00:00,26.8,,,5030917,4864
-97.52833333333334,51.05278611111111,MB,FISHER BRANCH SOUTH,1992-05-18 00:00:00,16.5,,,5030917,4864
-97.52833333333334,51.05278611111111,MB,FISHER BRANCH SOUTH,1996-03-13 00:00:00,-0.5,,,5030917,4864
-97.52833333333334,51.05278611111111,MB,FISHER BRANCH SOUTH,2001-12-05 00:00:00,-13.5,,,5030917,4864
-97.52833333333334,51.05278611111111,MB,FISHER BRANCH SOUTH,1998-01-18 00:00:00,-20.3,,,5030917,4864
-97.52833333333334,51.05278611111111,MB,FISHER BRANCH SOUTH,2004-08-04 00:00:00,16.0,,,5030917,4864
-97.52833333333334,51.05278611111111,MB,FISHER BRANCH SOUTH,1998-09-02 00:00:00,13.8,,,5030917,4864
-97.52833333333334,51.05278611111111,MB,FISHER BRANCH SOUTH,2004-11-08 00:00:00,-3.8,,,5030917,4864
-97.52833333333334,51.05278611111111,MB,FISHER BRANCH SOUTH,1995-06-10 00:00:00,12.8,,,5030917,4864
-97.52833333333334,51.05278611111111,MB,FISHER BRANCH SOUTH,1999-08-16 00:00:00,17.5,,,5030917,4864
-97.52833333333334,51.05278611111111,MB,FISHER BRANCH SOUTH,2006-01-25 00:00:00,-11.5,,,5030917,4864
-97.52833333333334,51.05278611111111,MB,FISHER BRANCH SOUTH,1997-07-27 00:00:00,17.3,,,5030917,4864
-97.52833333333334,51.05278611111111,MB,FISHER BRANCH SOUTH,1992-06-29 00:00:00,11.0,,,5030917,4864
-97.52833333333334,51.05278611111111,MB,FISHER BRANCH SOUTH,2005-06-14 00:00:00,17.8,,,5030917,4864
-97.52833333333334,51.05278611111111,MB,FISHER BRANCH SOUTH,1997-08-08 00:00:00,25.8,,,5030917,4864
-97.52833333333334,51.05278611111111,MB,FISHER BRANCH SOUTH,2008-07-08 00:00:00,15.5,,,5030917,4864
-97.52833333333334,51.05278611111111,MB,FISHER BRANCH SOUTH,2001-12-24 00:00:00,-14.5,,,5030917,4864
-97.52833333333334,51.05278611111111,MB,FISHER BRANCH SOUTH,1993-09-26 00:00:00,5.0,,,5030917,4864
-97.52833333333334,51.05278611111111,MB,FISHER BRANCH SOUTH,1997-01-03 00:00:00,-20.5,,,5030917,4864
-97.52833333333334,51.05278611111111,MB,FISHER BRANCH SOUTH,2005-07-06 00:00:00,19.8,,,5030917,4864
-97.52833333333334,51.05278611111111,MB,FISHER BRANCH SOUTH,1987-05-11 00:00:00,9.0,,,5030917,4864
-97.52833333333334,51.05278611111111,MB,FISHER BRANCH SOUTH,1997-09-24 00:00:00,16.0,,,5030917,4864
-97.52833333333334,51.05278611111111,MB,FISHER BRANCH SOUTH,1993-06-22 00:00:00,20.0,,,5030917,4864
-97.52833333333334,51.05278611111111,MB,FISHER BRANCH SOUTH,1987-06-19 00:00:00,20.0,,,5030917,4864
-97.52833333333334,51.05278611111111,MB,FISHER BRANCH SOUTH,2004-07-01 00:00:00,14.5,,,5030917,4864
-97.52833333333334,51.05278611111111,MB,FISHER BRANCH SOUTH,2008-09-03 00:00:00,13.5,,,5030917,4864
-97.52833333333334,51.05278611111111,MB,FISHER BRANCH SOUTH,1989-05-31 00:00:00,11.0,,,5030917,4864
-97.52833333333334,51.05278611111111,MB,FISHER BRANCH SOUTH,1988-11-07 00:00:00,2.0,,,5030917,4864
-97.52833333333334,51.05278611111111,MB,FISHER BRANCH SOUTH,1988-04-27 00:00:00,6.0,,,5030917,4864
-97.52833333333334,51.05278611111111,MB,FISHER BRANCH SOUTH,2006-07-03 00:00:00,16.3,,,5030917,4864
-97.52833333333334,51.05278611111111,MB,FISHER BRANCH SOUTH,1990-05-29 00:00:00,13.5,,,5030917,4864
-97.52833333333334,51.05278611111111,MB,FISHER BRANCH SOUTH,2000-04-28 00:00:00,7.8,,,5030917,4864
-97.52833333333334,51.05278611111111,MB,FISHER BRANCH SOUTH,1989-02-26 00:00:00,-20.5,,,5030917,4864
-97.52833333333334,51.05278611111111,MB,FISHER BRANCH SOUTH,2008-01-21 00:00:00,-23.5,,,5030917,4864
-97.52833333333334,51.05278611111111,MB,FISHER BRANCH SOUTH,2002-11-10 00:00:00,-8.8,,,5030917,4864
-97.52833333333334,51.05278611111111,MB,FISHER BRANCH SOUTH,1994-08-21 00:00:00,18.0,,,5030917,4864
-97.52833333333334,51.05278611111111,MB,FISHER BRANCH SOUTH,1990-03-11 00:00:00,-0.5,,,5030917,4864
-97.52833333333334,51.05278611111111,MB,FISHER BRANCH SOUTH,1988-09-04 00:00:00,13.0,,,5030917,4864
-97.52833333333334,51.05278611111111,MB,FISHER BRANCH SOUTH,1992-04-18 00:00:00,6.0,,,5030917,4864
-97.52833333333334,51.05278611111111,MB,FISHER BRANCH SOUTH,1989-01-11 00:00:00,-24.3,,,5030917,4864
-97.52833333333334,51.05278611111111,MB,FISHER BRANCH SOUTH,2001-12-28 00:00:00,-12.8,,,5030917,4864
-97.52833333333334,51.05278611111111,MB,FISHER BRANCH SOUTH,1995-08-18 00:00:00,21.0,,,5030917,4864
-97.52833333333334,51.05278611111111,MB,FISHER BRANCH SOUTH,1993-05-20 00:00:00,7.5,,,5030917,4864
-97.52833333333334,51.05278611111111,MB,FISHER BRANCH SOUTH,1991-09-18 00:00:00,3.3,,,5030917,4864
-97.52833333333334,51.05278611111111,MB,FISHER BRANCH SOUTH,2007-08-11 00:00:00,20.5,,,5030917,4864
-97.52833333333334,51.05278611111111,MB,FISHER BRANCH SOUTH,1996-12-23 00:00:00,-30.0,,,5030917,4864
-97.52833333333334,51.05278611111111,MB,FISHER BRANCH SOUTH,1988-06-07 00:00:00,25.8,,,5030917,4864
-97.52833333333334,51.05278611111111,MB,FISHER BRANCH SOUTH,1989-02-20 00:00:00,-16.0,,,5030917,4864
-97.52833333333334,51.05278611111111,MB,FISHER BRANCH SOUTH,1997-03-22 00:00:00,-4.3,,,5030917,4864
-97.52833333333334,51.05278611111111,MB,FISHER BRANCH SOUTH,1994-03-03 00:00:00,2.5,,,5030917,4864
-97.52833333333334,51.05278611111111,MB,FISHER BRANCH SOUTH,2001-09-09 00:00:00,12.3,,,5030917,4864
-97.52833333333334,51.05278611111111,MB,FISHER BRANCH SOUTH,1997-03-21 00:00:00,-1.5,,,5030917,4864
-97.52833333333334,51.05278611111111,MB,FISHER BRANCH SOUTH,1992-11-26 00:00:00,-9.3,,,5030917,4864
-97.52833333333334,51.05278611111111,MB,FISHER BRANCH SOUTH,1994-11-11 00:00:00,3.0,,,5030917,4864
-97.52833333333334,51.05278611111111,MB,FISHER BRANCH SOUTH,1997-09-14 00:00:00,10.8,,,5030917,4864
-97.52833333333334,51.05278611111111,MB,FISHER BRANCH SOUTH,2001-06-19 00:00:00,14.8,,,5030917,4864
-97.52833333333334,51.05278611111111,MB,FISHER BRANCH SOUTH,2006-05-19 00:00:00,13.3,,,5030917,4864
-97.52833333333334,51.05278611111111,MB,FISHER BRANCH SOUTH,2008-02-01 00:00:00,-10.0,,,5030917,4864
-97.52833333333334,51.05278611111111,MB,FISHER BRANCH SOUTH,1999-09-23 00:00:00,10.3,,,5030917,4864
-97.52833333333334,51.05278611111111,MB,FISHER BRANCH SOUTH,1999-06-25 00:00:00,11.5,,,5030917,4864
-97.52833333333334,51.05278611111111,MB,FISHER BRANCH SOUTH,1994-09-10 00:00:00,24.0,,,5030917,4864
-97.52833333333334,51.05278611111111,MB,FISHER BRANCH SOUTH,1988-02-10 00:00:00,-27.3,,,5030917,4864
-97.52833333333334,51.05278611111111,MB,FISHER BRANCH SOUTH,1987-08-13 00:00:00,16.5,,,5030917,4864
-97.52833333333334,51.05278611111111,MB,FISHER BRANCH SOUTH,1988-01-25 00:00:00,-26.0,,,5030917,4864
-97.52833333333334,51.05278611111111,MB,FISHER BRANCH SOUTH,1988-05-06 00:00:00,10.0,,,5030917,4864
