Longitude,Latitude,MAX_REL_HUMIDITY,MEAN_TEMPERATURE,Date,Climate ID,Name,Province,SPEED_MAX_GUST,Station ID
-114.38333333333334,62.45,,13.8,2011-08-17 00:00:00,2204110,YELLOWKNIFE-HENDERSON,NT,,2072
-114.38333333333334,62.45,,20.5,2017-07-31 00:00:00,2204110,YELLOWKNIFE-HENDERSON,NT,,2072
-114.38333333333334,62.45,,-13.5,2018-12-02 00:00:00,2204110,YELLOWKNIFE-HENDERSON,NT,,2072
-114.38333333333334,62.45,,-25.0,2019-01-24 00:00:00,2204110,YELLOWKNIFE-HENDERSON,NT,,2072
-114.38333333333334,62.45,,11.0,2017-09-14 00:00:00,2204110,YELLOWKNIFE-HENDERSON,NT,,2072
-114.38333333333334,62.45,,16.0,2017-05-05 00:00:00,2204110,YELLOWKNIFE-HENDERSON,NT,,2072
-114.38333333333334,62.45,,-33.3,2015-02-06 00:00:00,2204110,YELLOWKNIFE-HENDERSON,NT,,2072
-114.38333333333334,62.45,,-1.3,2015-10-10 00:00:00,2204110,YELLOWKNIFE-HENDERSON,NT,,2072
-114.38333333333334,62.45,,10.8,2013-08-27 00:00:00,2204110,YELLOWKNIFE-HENDERSON,NT,,2072
-114.38333333333334,62.45,,21.0,2012-06-26 00:00:00,2204110,YELLOWKNIFE-HENDERSON,NT,,2072
-114.38333333333334,62.45,,5.0,2012-05-03 00:00:00,2204110,YELLOWKNIFE-HENDERSON,NT,,2072
-114.38333333333334,62.45,,,2007-08-20 00:00:00,2204110,YELLOWKNIFE-HENDERSON,NT,,2072
-114.38333333333334,62.45,,-2.5,2016-12-01 00:00:00,2204110,YELLOWKNIFE-HENDERSON,NT,,2072
-114.38333333333334,62.45,,-9.0,2021-02-13 00:00:00,2204110,YELLOWKNIFE-HENDERSON,NT,,2072
-114.38333333333334,62.45,,-1.8,2020-03-15 00:00:00,2204110,YELLOWKNIFE-HENDERSON,NT,,2072
-114.38333333333334,62.45,,17.5,2017-08-12 00:00:00,2204110,YELLOWKNIFE-HENDERSON,NT,,2072
-114.38333333333334,62.45,,-15.3,2008-11-19 00:00:00,2204110,YELLOWKNIFE-HENDERSON,NT,,2072
-114.38333333333334,62.45,,7.5,2017-10-11 00:00:00,2204110,YELLOWKNIFE-HENDERSON,NT,,2072
-114.38333333333334,62.45,,-33.0,2013-02-03 00:00:00,2204110,YELLOWKNIFE-HENDERSON,NT,,2072
-114.38333333333334,62.45,,17.5,2014-06-27 00:00:00,2204110,YELLOWKNIFE-HENDERSON,NT,,2072
-114.38333333333334,62.45,,-13.0,2020-01-21 00:00:00,2204110,YELLOWKNIFE-HENDERSON,NT,,2072
-114.38333333333334,62.45,,-18.0,2018-02-16 00:00:00,2204110,YELLOWKNIFE-HENDERSON,NT,,2072
-114.38333333333334,62.45,,-12.0,2011-11-24 00:00:00,2204110,YELLOWKNIFE-HENDERSON,NT,,2072
-114.38333333333334,62.45,,9.8,2016-09-17 00:00:00,2204110,YELLOWKNIFE-HENDERSON,NT,,2072
-114.38333333333334,62.45,,4.5,2014-05-21 00:00:00,2204110,YELLOWKNIFE-HENDERSON,NT,,2072
-114.38333333333334,62.45,,-34.5,2014-01-01 00:00:00,2204110,YELLOWKNIFE-HENDERSON,NT,,2072
-114.38333333333334,62.45,,1.0,2020-04-21 00:00:00,2204110,YELLOWKNIFE-HENDERSON,NT,,2072
-114.38333333333334,62.45,,-7.0,2012-04-06 00:00:00,2204110,YELLOWKNIFE-HENDERSON,NT,,2072
-114.38333333333334,62.45,,-21.3,2015-02-24 00:00:00,2204110,YELLOWKNIFE-HENDERSON,NT,,2072
-114.38333333333334,62.45,,-30.3,2012-01-28 00:00:00,2204110,YELLOWKNIFE-HENDERSON,NT,,2072
-114.38333333333334,62.45,,-17.0,2018-03-09 00:00:00,2204110,YELLOWKNIFE-HENDERSON,NT,,2072
-114.38333333333334,62.45,,21.0,2010-07-15 00:00:00,2204110,YELLOWKNIFE-HENDERSON,NT,,2072
-114.38333333333334,62.45,,-9.0,2016-01-05 00:00:00,2204110,YELLOWKNIFE-HENDERSON,NT,,2072
-114.38333333333334,62.45,,-22.0,2015-02-15 00:00:00,2204110,YELLOWKNIFE-HENDERSON,NT,,2072
-114.38333333333334,62.45,,-16.0,2010-12-24 00:00:00,2204110,YELLOWKNIFE-HENDERSON,NT,,2072
-114.38333333333334,62.45,,-15.5,2016-03-22 00:00:00,2204110,YELLOWKNIFE-HENDERSON,NT,,2072
-114.38333333333334,62.45,,-17.0,2017-02-10 00:00:00,2204110,YELLOWKNIFE-HENDERSON,NT,,2072
-114.38333333333334,62.45,,15.0,2013-08-08 00:00:00,2204110,YELLOWKNIFE-HENDERSON,NT,,2072
