Longitude,Latitude,SPEED_MAX_GUST,Province,Name,MEAN_TEMPERATURE,MAX_REL_HUMIDITY,Climate ID,Date,Station ID
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-32.3,,2202351,1995-02-24 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-34.3,,2202351,1995-02-25 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-36.1,,2202351,1995-02-26 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-32.3,,2202351,1995-02-27 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,,,2202351,1995-02-28 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-30.1,,2202351,1995-03-01 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-37.4,,2202351,1995-03-02 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-37.3,,2202351,1995-03-03 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-36.2,,2202351,1995-03-04 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-32.3,,2202351,1995-03-05 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-38.3,,2202351,1995-03-06 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-33.1,,2202351,1995-03-07 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-30.2,,2202351,1995-03-08 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-27.1,,2202351,1995-03-09 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-20.3,,2202351,1995-03-10 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-24.4,,2202351,1995-03-11 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-21.4,,2202351,1995-03-12 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-30.7,,2202351,1995-03-13 00:00:00,1988
-105.13333333333334,63.6,0.0,NT,HANBURY RIVER,-19.7,,2202351,1995-03-14 00:00:00,1988
