x,y,PROVINCE_CODE,STATION_NAME,LOCAL_DATE,MEAN_TEMPERATURE,SPEED_MAX_GUST,MAX_REL_HUMIDITY,CLIMATE_IDENTIFIER
-96.035,49.3525,MB,ST LABRE,1997-07-21 00:00:00,,,,5022575
-96.035,49.3525,MB,ST LABRE,2016-11-26 00:00:00,,,,5022575
-96.035,49.3525,MB,ST LABRE,2000-11-21 00:00:00,,,,5022575
-96.035,49.3525,MB,ST LABRE,1991-06-20 00:00:00,,,,5022575
-96.035,49.3525,MB,ST LABRE,2012-09-30 00:00:00,,,,5022575
-96.035,49.3525,MB,ST LABRE,2021-02-20 00:00:00,,,,5022575
-96.035,49.3525,MB,ST LABRE,2010-03-02 00:00:00,,,,5022575
-96.035,49.3525,MB,ST LABRE,2000-10-08 00:00:00,,,,5022575
-96.035,49.3525,MB,ST LABRE,1992-12-14 00:00:00,,,,5022575
-96.035,49.3525,MB,ST LABRE,2007-02-22 00:00:00,,,,5022575
-96.035,49.3525,MB,ST LABRE,1998-02-22 00:00:00,,,,5022575
-96.035,49.3525,MB,ST LABRE,1989-04-03 00:00:00,,,,5022575
-96.035,49.3525,MB,ST LABRE,2017-05-07 00:00:00,,,,5022575
-96.035,49.3525,MB,ST LABRE,2009-12-01 00:00:00,,,,5022575
-96.035,49.3525,MB,ST LABRE,2016-09-01 00:00:00,,,,5022575
-96.035,49.3525,MB,ST LABRE,2011-02-16 00:00:00,,,,5022575
-96.035,49.3525,MB,ST LABRE,1992-08-11 00:00:00,,,,5022575
-96.035,49.3525,MB,ST LABRE,1997-03-08 00:00:00,,,,5022575
-96.035,49.3525,MB,ST LABRE,2009-08-29 00:00:00,,,,5022575
-96.035,49.3525,MB,ST LABRE,2015-10-30 00:00:00,,,,5022575
-96.035,49.3525,MB,ST LABRE,1992-12-03 00:00:00,,,,5022575
-96.035,49.3525,MB,ST LABRE,2011-09-05 00:00:00,,,,5022575
-96.035,49.3525,MB,ST LABRE,2018-01-11 00:00:00,,,,5022575
-96.035,49.3525,MB,ST LABRE,1988-08-31 00:00:00,,,,5022575
-96.035,49.3525,MB,ST LABRE,2001-02-02 00:00:00,,,,5022575
-96.035,49.3525,MB,ST LABRE,1989-12-29 00:00:00,,,,5022575
-96.035,49.3525,MB,ST LABRE,2014-09-02 00:00:00,,,,5022575
-96.035,49.3525,MB,ST LABRE,2020-12-22 00:00:00,,,,5022575
-96.035,49.3525,MB,ST LABRE,2007-02-17 00:00:00,,,,5022575
-96.035,49.3525,MB,ST LABRE,2003-05-24 00:00:00,,,,5022575
-96.035,49.3525,MB,ST LABRE,1996-10-02 00:00:00,,,,5022575
-96.035,49.3525,MB,ST LABRE,2020-12-10 00:00:00,,,,5022575
-96.035,49.3525,MB,ST LABRE,2002-03-26 00:00:00,,,,5022575
-96.035,49.3525,MB,ST LABRE,2003-09-12 00:00:00,,,,5022575
-96.035,49.3525,MB,ST LABRE,2018-06-04 00:00:00,,,,5022575
-96.035,49.3525,MB,ST LABRE,1987-08-12 00:00:00,,,,5022575
-96.035,49.3525,MB,ST LABRE,2021-05-28 00:00:00,,,,5022575
-96.035,49.3525,MB,ST LABRE,1992-03-30 00:00:00,,,,5022575
-96.035,49.3525,MB,ST LABRE,2009-03-24 00:00:00,,,,5022575
-96.035,49.3525,MB,ST LABRE,2019-01-30 00:00:00,,,,5022575
-96.035,49.3525,MB,ST LABRE,1990-06-16 00:00:00,,,,5022575
-96.035,49.3525,MB,ST LABRE,1992-04-02 00:00:00,,,,5022575
-96.035,49.3525,MB,ST LABRE,2003-07-11 00:00:00,,,,5022575
-96.035,49.3525,MB,ST LABRE,2002-03-24 00:00:00,,,,5022575
-96.035,49.3525,MB,ST LABRE,2001-06-20 00:00:00,,,,5022575
-96.035,49.3525,MB,ST LABRE,1989-09-18 00:00:00,,,,5022575
-96.035,49.3525,MB,ST LABRE,2019-02-21 00:00:00,,,,5022575
-96.035,49.3525,MB,ST LABRE,2013-09-01 00:00:00,,,,5022575
-96.035,49.3525,MB,ST LABRE,2014-07-03 00:00:00,,,,5022575
-96.035,49.3525,MB,ST LABRE,2001-12-24 00:00:00,,,,5022575
-96.035,49.3525,MB,ST LABRE,2018-08-25 00:00:00,,,,5022575
-96.035,49.3525,MB,ST LABRE,2013-06-15 00:00:00,,,,5022575
-96.035,49.3525,MB,ST LABRE,1996-05-25 00:00:00,,,,5022575
-96.035,49.3525,MB,ST LABRE,2017-07-26 00:00:00,,,,5022575
-96.035,49.3525,MB,ST LABRE,2001-07-04 00:00:00,,,,5022575
-96.035,49.3525,MB,ST LABRE,2017-12-22 00:00:00,,,,5022575
-96.035,49.3525,MB,ST LABRE,2003-01-28 00:00:00,,,,5022575
-96.035,49.3525,MB,ST LABRE,2022-01-24 00:00:00,,,,5022575
-96.035,49.3525,MB,ST LABRE,1992-10-17 00:00:00,,,,5022575
-96.035,49.3525,MB,ST LABRE,2007-05-04 00:00:00,,,,5022575
-96.035,49.3525,MB,ST LABRE,1988-09-20 00:00:00,,,,5022575
-96.035,49.3525,MB,ST LABRE,2020-06-11 00:00:00,,,,5022575
-96.035,49.3525,MB,ST LABRE,2008-10-18 00:00:00,,,,5022575
