x,y,MAX_REL_HUMIDITY,MEAN_TEMPERATURE,LOCAL_DATE,CLIMATE_IDENTIFIER,STATION_NAME,PROVINCE_CODE,SPEED_MAX_GUST
-105.15,52.416666666666664,,-16.1,2014-11-12 00:00:00,4056121,PILGER,SK,0
-105.15,52.416666666666664,,-26.4,2014-11-30 00:00:00,4056121,PILGER,SK,41
-105.15,52.416666666666664,,-23.6,2014-11-29 00:00:00,4056121,PILGER,SK,37
-105.15,52.416666666666664,,-18.7,2014-11-28 00:00:00,4056121,PILGER,SK,43
-105.15,52.416666666666664,,-17.7,2014-11-27 00:00:00,4056121,PILGER,SK,37
-105.15,52.416666666666664,,-21.9,2014-11-26 00:00:00,4056121,PILGER,SK,0
-105.15,52.416666666666664,,-14.7,2014-11-25 00:00:00,4056121,PILGER,SK,33
-105.15,52.416666666666664,,-14.5,2014-11-24 00:00:00,4056121,PILGER,SK,0
-105.15,52.416666666666664,,-16.8,2014-11-23 00:00:00,4056121,PILGER,SK,52
-105.15,52.416666666666664,,-7.5,2014-11-22 00:00:00,4056121,PILGER,SK,52
-105.15,52.416666666666664,,-1.8,2014-11-21 00:00:00,4056121,PILGER,SK,0
-105.15,52.416666666666664,,-12.9,2014-11-20 00:00:00,4056121,PILGER,SK,32
-105.15,52.416666666666664,,-13.1,2014-11-19 00:00:00,4056121,PILGER,SK,33
-105.15,52.416666666666664,,-15.8,2014-11-13 00:00:00,4056121,PILGER,SK,0
-105.15,52.416666666666664,,-16.7,2014-11-14 00:00:00,4056121,PILGER,SK,0
-105.15,52.416666666666664,,-11.6,2014-11-15 00:00:00,4056121,PILGER,SK,43
-105.15,52.416666666666664,,-11.7,2014-11-16 00:00:00,4056121,PILGER,SK,59
-105.15,52.416666666666664,,-12,2014-11-17 00:00:00,4056121,PILGER,SK,41
-105.15,52.416666666666664,,-11.2,2014-11-18 00:00:00,4056121,PILGER,SK,52
-105.15,52.416666666666664,,1,2014-12-10 00:00:00,4056121,PILGER,SK,35
-105.15,52.416666666666664,,1.5,2014-12-11 00:00:00,4056121,PILGER,SK,32
-105.15,52.416666666666664,,-5.9,2014-12-09 00:00:00,4056121,PILGER,SK,39
-105.15,52.416666666666664,,-23.4,2014-12-01 00:00:00,4056121,PILGER,SK,35
-105.15,52.416666666666664,,-19.7,2014-12-02 00:00:00,4056121,PILGER,SK,0
