Longitude,Latitude,Name,Date,Climate ID,SPEED_MAX_GUST,Province,MEAN_TEMPERATURE,MAX_REL_HUMIDITY,Station ID
-72.4,46.86666666666667,LAC AUX SABLES,2002-02-11 00:00:00,701LEEH,,QC,-19.0,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2009-02-07 00:00:00,701LEEH,,QC,-14.0,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2009-08-28 00:00:00,701LEEH,,QC,13.3,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2016-11-02 00:00:00,701LEEH,,QC,,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2014-08-19 00:00:00,701LEEH,,QC,16.3,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2012-04-19 00:00:00,701LEEH,,QC,7.8,,6872
-72.4,46.86666666666667,LAC AUX SABLES,1994-10-10 00:00:00,701LEEH,,QC,6.0,,6872
-72.4,46.86666666666667,LAC AUX SABLES,1998-06-28 00:00:00,701LEEH,,QC,17.8,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2005-11-05 00:00:00,701LEEH,,QC,0.5,,6872
-72.4,46.86666666666667,LAC AUX SABLES,1999-02-04 00:00:00,701LEEH,,QC,-1.3,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2021-04-17 00:00:00,701LEEH,,QC,,,6872
-72.4,46.86666666666667,LAC AUX SABLES,1998-02-02 00:00:00,701LEEH,,QC,-6.5,,6872
-72.4,46.86666666666667,LAC AUX SABLES,1998-07-26 00:00:00,701LEEH,,QC,16.3,,6872
-72.4,46.86666666666667,LAC AUX SABLES,1997-09-11 00:00:00,701LEEH,,QC,16.8,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2015-08-18 00:00:00,701LEEH,,QC,23.5,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2004-06-18 00:00:00,701LEEH,,QC,16.5,,6872
-72.4,46.86666666666667,LAC AUX SABLES,1991-04-17 00:00:00,701LEEH,,QC,2.8,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2002-11-14 00:00:00,701LEEH,,QC,0.0,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2008-01-04 00:00:00,701LEEH,,QC,-16.0,,6872
-72.4,46.86666666666667,LAC AUX SABLES,1998-12-04 00:00:00,701LEEH,,QC,1.3,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2007-12-06 00:00:00,701LEEH,,QC,-17.5,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2012-08-01 00:00:00,701LEEH,,QC,21.0,,6872
-72.4,46.86666666666667,LAC AUX SABLES,1992-09-05 00:00:00,701LEEH,,QC,13.8,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2003-02-08 00:00:00,701LEEH,,QC,-19.0,,6872
-72.4,46.86666666666667,LAC AUX SABLES,1998-01-17 00:00:00,701LEEH,,QC,-17.8,,6872
-72.4,46.86666666666667,LAC AUX SABLES,1996-09-27 00:00:00,701LEEH,,QC,7.3,,6872
-72.4,46.86666666666667,LAC AUX SABLES,1992-03-03 00:00:00,701LEEH,,QC,-15.0,,6872
-72.4,46.86666666666667,LAC AUX SABLES,1991-05-01 00:00:00,701LEEH,,QC,15.8,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2005-04-26 00:00:00,701LEEH,,QC,8.8,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2020-09-30 00:00:00,701LEEH,,QC,,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2014-11-01 00:00:00,701LEEH,,QC,4.0,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2011-04-08 00:00:00,701LEEH,,QC,-0.8,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2017-12-27 00:00:00,701LEEH,,QC,-26.6,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2003-09-05 00:00:00,701LEEH,,QC,14.3,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2011-10-15 00:00:00,701LEEH,,QC,,,6872
-72.4,46.86666666666667,LAC AUX SABLES,1990-12-29 00:00:00,701LEEH,,QC,-4.0,,6872
-72.4,46.86666666666667,LAC AUX SABLES,1988-07-05 00:00:00,701LEEH,,QC,21.0,,6872
-72.4,46.86666666666667,LAC AUX SABLES,1991-10-18 00:00:00,701LEEH,,QC,9.3,,6872
-72.4,46.86666666666667,LAC AUX SABLES,1990-04-03 00:00:00,701LEEH,,QC,3.5,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2012-05-04 00:00:00,701LEEH,,QC,11.5,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2022-09-27 00:00:00,701LEEH,,QC,,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2004-06-16 00:00:00,701LEEH,,QC,15.3,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2008-01-03 00:00:00,701LEEH,,QC,-21.0,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2017-08-22 00:00:00,701LEEH,,QC,18.2,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2022-06-13 00:00:00,701LEEH,,QC,,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2022-04-01 00:00:00,701LEEH,,QC,,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2004-10-12 00:00:00,701LEEH,,QC,10.0,,6872
-72.4,46.86666666666667,LAC AUX SABLES,1994-04-17 00:00:00,701LEEH,,QC,2.8,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2021-05-27 00:00:00,701LEEH,,QC,,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2013-08-22 00:00:00,701LEEH,,QC,22.0,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2010-01-08 00:00:00,701LEEH,,QC,-7.3,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2014-11-15 00:00:00,701LEEH,,QC,,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2013-01-09 00:00:00,701LEEH,,QC,-2.0,,6872
-72.4,46.86666666666667,LAC AUX SABLES,1999-02-20 00:00:00,701LEEH,,QC,-4.8,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2006-05-11 00:00:00,701LEEH,,QC,17.0,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2011-06-05 00:00:00,701LEEH,,QC,,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2017-09-28 00:00:00,701LEEH,,QC,11.0,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2003-06-06 00:00:00,701LEEH,,QC,15.5,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2017-06-07 00:00:00,701LEEH,,QC,16.3,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2020-11-06 00:00:00,701LEEH,,QC,,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2015-08-31 00:00:00,701LEEH,,QC,22.3,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2007-04-02 00:00:00,701LEEH,,QC,0.5,,6872
-72.4,46.86666666666667,LAC AUX SABLES,2008-05-25 00:00:00,701LEEH,,QC,12.0,,6872
