x,y,SPEED_MAX_GUST,PROVINCE_CODE,STATION_NAME,MEAN_TEMPERATURE,MAX_REL_HUMIDITY,CLIMATE_IDENTIFIER,LOCAL_DATE
-136.76666666666668,60,,YT,BLANCHARD RIVER,-3,,2100163,2000-10-18 00:00:00
-136.76666666666668,60,,YT,BLANCHARD RIVER,,,2100163,1988-10-10 00:00:00
-136.76666666666668,60,,YT,BLANCHARD RIVER,-29.8,,2100163,1994-01-10 00:00:00
-136.76666666666668,60,,YT,BLANCHARD RIVER,-1.5,,2100163,1995-04-21 00:00:00
-136.76666666666668,60,,YT,BLANCHARD RIVER,-29.8,,2100163,2004-01-08 00:00:00
-136.76666666666668,60,,YT,BLANCHARD RIVER,-7.3,,2100163,1988-04-05 00:00:00
-136.76666666666668,60,,YT,BLANCHARD RIVER,-0.5,,2100163,2004-04-03 00:00:00
-136.76666666666668,60,,YT,BLANCHARD RIVER,7,,2100163,2001-06-24 00:00:00
-136.76666666666668,60,,YT,BLANCHARD RIVER,,,2100163,2003-08-09 00:00:00
-136.76666666666668,60,,YT,BLANCHARD RIVER,-16.3,,2100163,1990-02-17 00:00:00
-136.76666666666668,60,,YT,BLANCHARD RIVER,-16.5,,2100163,2012-01-10 00:00:00
-136.76666666666668,60,,YT,BLANCHARD RIVER,-5.8,,2100163,1998-04-06 00:00:00
-136.76666666666668,60,,YT,BLANCHARD RIVER,9,,2100163,1996-08-29 00:00:00
-136.76666666666668,60,,YT,BLANCHARD RIVER,-12.5,,2100163,2010-11-17 00:00:00
-136.76666666666668,60,,YT,BLANCHARD RIVER,6.3,,2100163,1996-05-29 00:00:00
-136.76666666666668,60,,YT,BLANCHARD RIVER,-1,,2100163,1992-09-27 00:00:00
-136.76666666666668,60,,YT,BLANCHARD RIVER,-9,,2100163,1996-12-03 00:00:00
-136.76666666666668,60,,YT,BLANCHARD RIVER,4.5,,2100163,1994-05-25 00:00:00
-136.76666666666668,60,,YT,BLANCHARD RIVER,-16.5,,2100163,1991-11-02 00:00:00
-136.76666666666668,60,,YT,BLANCHARD RIVER,7.3,,2100163,2002-08-15 00:00:00
-136.76666666666668,60,,YT,BLANCHARD RIVER,-10.8,,2100163,2005-03-17 00:00:00
-136.76666666666668,60,,YT,BLANCHARD RIVER,11,,2100163,1995-07-14 00:00:00
-136.76666666666668,60,,YT,BLANCHARD RIVER,12.8,,2100163,1991-06-24 00:00:00
-136.76666666666668,60,,YT,BLANCHARD RIVER,-2.5,,2100163,1991-11-06 00:00:00
-136.76666666666668,60,,YT,BLANCHARD RIVER,,,2100163,1988-10-23 00:00:00
-136.76666666666668,60,,YT,BLANCHARD RIVER,,,2100163,1989-04-14 00:00:00
-136.76666666666668,60,,YT,BLANCHARD RIVER,6.3,,2100163,2000-05-30 00:00:00
-136.76666666666668,60,,YT,BLANCHARD RIVER,,,2100163,2004-07-02 00:00:00
-136.76666666666668,60,,YT,BLANCHARD RIVER,-20.5,,2100163,1992-12-27 00:00:00
-136.76666666666668,60,,YT,BLANCHARD RIVER,0.5,,2100163,1992-10-24 00:00:00
-136.76666666666668,60,,YT,BLANCHARD RIVER,-10.5,,2100163,1990-12-22 00:00:00
-136.76666666666668,60,,YT,BLANCHARD RIVER,-0.5,,2100163,2005-10-14 00:00:00
-136.76666666666668,60,,YT,BLANCHARD RIVER,-20,,2100163,1996-12-30 00:00:00
-136.76666666666668,60,,YT,BLANCHARD RIVER,11.8,,2100163,2001-08-11 00:00:00
-136.76666666666668,60,,YT,BLANCHARD RIVER,8.8,,2100163,1989-06-05 00:00:00
-136.76666666666668,60,,YT,BLANCHARD RIVER,7.3,,2100163,1999-06-20 00:00:00
-136.76666666666668,60,,YT,BLANCHARD RIVER,8.8,,2100163,2006-08-06 00:00:00
-136.76666666666668,60,,YT,BLANCHARD RIVER,0.3,,2100163,1990-03-03 00:00:00
-136.76666666666668,60,,YT,BLANCHARD RIVER,-22.5,,2100163,1994-11-23 00:00:00
-136.76666666666668,60,,YT,BLANCHARD RIVER,6.5,,2100163,1998-06-09 00:00:00
-136.76666666666668,60,,YT,BLANCHARD RIVER,5.8,,2100163,1998-08-31 00:00:00
-136.76666666666668,60,,YT,BLANCHARD RIVER,0,,2100163,1995-01-22 00:00:00
-136.76666666666668,60,,YT,BLANCHARD RIVER,11.5,,2100163,1992-06-13 00:00:00
-136.76666666666668,60,,YT,BLANCHARD RIVER,9.3,,2100163,2001-07-31 00:00:00
