x,y,STATION_NAME,LOCAL_DATE,CLIMATE_IDENTIFIER,SPEED_MAX_GUST,PROVINCE_CODE,MEAN_TEMPERATURE,MAX_REL_HUMIDITY
-118.42472222222223,51.62972222222222,GOLDSTREAM RIVER,2016-12-20 00:00:00,1173242,,BC,-3.5,
-118.42472222222223,51.62972222222222,GOLDSTREAM RIVER,2007-04-25 00:00:00,1173242,,BC,5.8,
-118.42472222222223,51.62972222222222,GOLDSTREAM RIVER,2000-12-05 00:00:00,1173242,,BC,-4.8,
-118.42472222222223,51.62972222222222,GOLDSTREAM RIVER,1987-10-14 00:00:00,1173242,,BC,4.8,
-118.42472222222223,51.62972222222222,GOLDSTREAM RIVER,2006-08-04 00:00:00,1173242,,BC,14,
-118.42472222222223,51.62972222222222,GOLDSTREAM RIVER,2015-11-21 00:00:00,1173242,,BC,-6,
-118.42472222222223,51.62972222222222,GOLDSTREAM RIVER,2011-08-07 00:00:00,1173242,,BC,18,
-118.42472222222223,51.62972222222222,GOLDSTREAM RIVER,1990-08-31 00:00:00,1173242,,BC,13.5,
-118.42472222222223,51.62972222222222,GOLDSTREAM RIVER,1997-05-28 00:00:00,1173242,,BC,12.8,
-118.42472222222223,51.62972222222222,GOLDSTREAM RIVER,2006-02-12 00:00:00,1173242,,BC,-6.8,
-118.42472222222223,51.62972222222222,GOLDSTREAM RIVER,2008-11-18 00:00:00,1173242,,BC,0,
-118.42472222222223,51.62972222222222,GOLDSTREAM RIVER,1990-05-27 00:00:00,1173242,,BC,13.5,
-118.42472222222223,51.62972222222222,GOLDSTREAM RIVER,2013-05-29 00:00:00,1173242,,BC,13.5,
-118.42472222222223,51.62972222222222,GOLDSTREAM RIVER,1991-02-11 00:00:00,1173242,,BC,1.5,
-118.42472222222223,51.62972222222222,GOLDSTREAM RIVER,2015-06-20 00:00:00,1173242,,BC,11.5,
-118.42472222222223,51.62972222222222,GOLDSTREAM RIVER,2018-02-02 00:00:00,1173242,,BC,-1,
-118.42472222222223,51.62972222222222,GOLDSTREAM RIVER,2012-04-07 00:00:00,1173242,,BC,2,
-118.42472222222223,51.62972222222222,GOLDSTREAM RIVER,1996-12-06 00:00:00,1173242,,BC,-3,
-118.42472222222223,51.62972222222222,GOLDSTREAM RIVER,2011-10-05 00:00:00,1173242,,BC,5.5,
-118.42472222222223,51.62972222222222,GOLDSTREAM RIVER,1998-01-01 00:00:00,1173242,,BC,-2.3,
-118.42472222222223,51.62972222222222,GOLDSTREAM RIVER,1996-03-28 00:00:00,1173242,,BC,-4,
-118.42472222222223,51.62972222222222,GOLDSTREAM RIVER,1988-05-25 00:00:00,1173242,,BC,13,
-118.42472222222223,51.62972222222222,GOLDSTREAM RIVER,2012-04-11 00:00:00,1173242,,BC,5.5,
-118.42472222222223,51.62972222222222,GOLDSTREAM RIVER,2012-08-06 00:00:00,1173242,,BC,19,
-118.42472222222223,51.62972222222222,GOLDSTREAM RIVER,1992-03-22 00:00:00,1173242,,BC,3.5,
-118.42472222222223,51.62972222222222,GOLDSTREAM RIVER,2000-08-15 00:00:00,1173242,,BC,13.8,
-118.42472222222223,51.62972222222222,GOLDSTREAM RIVER,2011-03-31 00:00:00,1173242,,BC,2,
