x,y,MAX_REL_HUMIDITY,CLIMATE_IDENTIFIER,LOCAL_DATE,MEAN_TEMPERATURE,STATION_NAME,PROVINCE_CODE,SPEED_MAX_GUST
-122.85222222222222,53.775555833333335,,1096455,2008-05-22 00:00:00,8.5,PRINCE GEORGE WEST LAKE,BC,
-122.85222222222222,53.775555833333335,,1096455,2004-06-04 00:00:00,16.8,PRINCE GEORGE WEST LAKE,BC,
-122.85222222222222,53.775555833333335,,1096455,2001-12-13 00:00:00,-1.5,PRINCE GEORGE WEST LAKE,BC,
-122.85222222222222,53.775555833333335,,1096455,2004-07-09 00:00:00,14,PRINCE GEORGE WEST LAKE,BC,
-122.85222222222222,53.775555833333335,,1096455,2001-01-03 00:00:00,0.8,PRINCE GEORGE WEST LAKE,BC,
-122.85222222222222,53.775555833333335,,1096455,2000-10-02 00:00:00,2.8,PRINCE GEORGE WEST LAKE,BC,
-122.85222222222222,53.775555833333335,,1096455,2003-12-22 00:00:00,2.3,PRINCE GEORGE WEST LAKE,BC,
-122.85222222222222,53.775555833333335,,1096455,2002-02-25 00:00:00,-18.3,PRINCE GEORGE WEST LAKE,BC,
-122.85222222222222,53.775555833333335,,1096455,2002-11-09 00:00:00,-3.5,PRINCE GEORGE WEST LAKE,BC,
-122.85222222222222,53.775555833333335,,1096455,2001-07-04 00:00:00,13.8,PRINCE GEORGE WEST LAKE,BC,
-122.85222222222222,53.775555833333335,,1096455,1999-11-20 00:00:00,2,PRINCE GEORGE WEST LAKE,BC,
-122.85222222222222,53.775555833333335,,1096455,2004-07-14 00:00:00,16,PRINCE GEORGE WEST LAKE,BC,
-122.85222222222222,53.775555833333335,,1096455,2000-12-01 00:00:00,3.8,PRINCE GEORGE WEST LAKE,BC,
-122.85222222222222,53.775555833333335,,1096455,2001-04-26 00:00:00,9,PRINCE GEORGE WEST LAKE,BC,
-122.85222222222222,53.775555833333335,,1096455,2002-02-21 00:00:00,-5.3,PRINCE GEORGE WEST LAKE,BC,
-122.85222222222222,53.775555833333335,,1096455,2005-07-22 00:00:00,12.3,PRINCE GEORGE WEST LAKE,BC,
-122.85222222222222,53.775555833333335,,1096455,2000-03-12 00:00:00,1.5,PRINCE GEORGE WEST LAKE,BC,
-122.85222222222222,53.775555833333335,,1096455,2008-08-17 00:00:00,17.5,PRINCE GEORGE WEST LAKE,BC,
-122.85222222222222,53.775555833333335,,1096455,2005-04-16 00:00:00,6.8,PRINCE GEORGE WEST LAKE,BC,
-122.85222222222222,53.775555833333335,,1096455,2001-06-15 00:00:00,,PRINCE GEORGE WEST LAKE,BC,
-122.85222222222222,53.775555833333335,,1096455,2001-09-04 00:00:00,7,PRINCE GEORGE WEST LAKE,BC,
-122.85222222222222,53.775555833333335,,1096455,2001-12-07 00:00:00,-5,PRINCE GEORGE WEST LAKE,BC,
-122.85222222222222,53.775555833333335,,1096455,2004-06-18 00:00:00,16,PRINCE GEORGE WEST LAKE,BC,
-122.85222222222222,53.775555833333335,,1096455,2005-05-19 00:00:00,13,PRINCE GEORGE WEST LAKE,BC,
-122.85222222222222,53.775555833333335,,1096455,2003-04-06 00:00:00,1.5,PRINCE GEORGE WEST LAKE,BC,
-122.85222222222222,53.775555833333335,,1096455,2004-06-03 00:00:00,13,PRINCE GEORGE WEST LAKE,BC,
-122.85222222222222,53.775555833333335,,1096455,2002-08-06 00:00:00,10.5,PRINCE GEORGE WEST LAKE,BC,
-122.85222222222222,53.775555833333335,,1096455,2005-05-14 00:00:00,13,PRINCE GEORGE WEST LAKE,BC,
-122.85222222222222,53.775555833333335,,1096455,2004-03-05 00:00:00,,PRINCE GEORGE WEST LAKE,BC,
-122.85222222222222,53.775555833333335,,1096455,2003-06-11 00:00:00,13.8,PRINCE GEORGE WEST LAKE,BC,
-122.85222222222222,53.775555833333335,,1096455,2008-04-25 00:00:00,1.3,PRINCE GEORGE WEST LAKE,BC,
-122.85222222222222,53.775555833333335,,1096455,2003-07-29 00:00:00,15,PRINCE GEORGE WEST LAKE,BC,
-122.85222222222222,53.775555833333335,,1096455,2004-01-11 00:00:00,-5,PRINCE GEORGE WEST LAKE,BC,
-122.85222222222222,53.775555833333335,,1096455,2000-05-12 00:00:00,4,PRINCE GEORGE WEST LAKE,BC,
-122.85222222222222,53.775555833333335,,1096455,2002-10-17 00:00:00,7,PRINCE GEORGE WEST LAKE,BC,
-122.85222222222222,53.775555833333335,,1096455,2006-06-11 00:00:00,,PRINCE GEORGE WEST LAKE,BC,
-122.85222222222222,53.775555833333335,,1096455,2001-10-29 00:00:00,2.8,PRINCE GEORGE WEST LAKE,BC,
-122.85222222222222,53.775555833333335,,1096455,2000-08-24 00:00:00,16,PRINCE GEORGE WEST LAKE,BC,
-122.85222222222222,53.775555833333335,,1096455,2001-04-02 00:00:00,-2.3,PRINCE GEORGE WEST LAKE,BC,
-122.85222222222222,53.775555833333335,,1096455,2002-11-29 00:00:00,-2.8,PRINCE GEORGE WEST LAKE,BC,
-122.85222222222222,53.775555833333335,,1096455,2000-01-31 00:00:00,-7,PRINCE GEORGE WEST LAKE,BC,
-122.85222222222222,53.775555833333335,,1096455,2003-02-12 00:00:00,,PRINCE GEORGE WEST LAKE,BC,
-122.85222222222222,53.775555833333335,,1096455,2003-08-17 00:00:00,14.5,PRINCE GEORGE WEST LAKE,BC,
-122.85222222222222,53.775555833333335,,1096455,2008-05-31 00:00:00,10.5,PRINCE GEORGE WEST LAKE,BC,
-122.85222222222222,53.775555833333335,,1096455,2008-06-03 00:00:00,11.5,PRINCE GEORGE WEST LAKE,BC,
-122.85222222222222,53.775555833333335,,1096455,2007-07-04 00:00:00,16.8,PRINCE GEORGE WEST LAKE,BC,
-122.85222222222222,53.775555833333335,,1096455,2008-05-19 00:00:00,9.5,PRINCE GEORGE WEST LAKE,BC,
-122.85222222222222,53.775555833333335,,1096455,2002-06-21 00:00:00,13.5,PRINCE GEORGE WEST LAKE,BC,
-122.85222222222222,53.775555833333335,,1096455,2006-10-11 00:00:00,7.3,PRINCE GEORGE WEST LAKE,BC,
-122.85222222222222,53.775555833333335,,1096455,2003-08-03 00:00:00,10.8,PRINCE GEORGE WEST LAKE,BC,
-122.85222222222222,53.775555833333335,,1096455,2000-03-15 00:00:00,-5.3,PRINCE GEORGE WEST LAKE,BC,
-122.85222222222222,53.775555833333335,,1096455,2003-08-11 00:00:00,11.5,PRINCE GEORGE WEST LAKE,BC,
-122.85222222222222,53.775555833333335,,1096455,2005-01-23 00:00:00,6.8,PRINCE GEORGE WEST LAKE,BC,
-122.85222222222222,53.775555833333335,,1096455,2005-06-21 00:00:00,15.5,PRINCE GEORGE WEST LAKE,BC,
-122.85222222222222,53.775555833333335,,1096455,2008-04-08 00:00:00,-0.3,PRINCE GEORGE WEST LAKE,BC,
-122.85222222222222,53.775555833333335,,1096455,2002-03-20 00:00:00,-17.8,PRINCE GEORGE WEST LAKE,BC,
-122.85222222222222,53.775555833333335,,1096455,2004-05-25 00:00:00,10,PRINCE GEORGE WEST LAKE,BC,
-122.85222222222222,53.775555833333335,,1096455,2005-08-17 00:00:00,11.8,PRINCE GEORGE WEST LAKE,BC,
-122.85222222222222,53.775555833333335,,1096455,2005-08-11 00:00:00,13,PRINCE GEORGE WEST LAKE,BC,
-122.85222222222222,53.775555833333335,,1096455,2003-06-14 00:00:00,11.3,PRINCE GEORGE WEST LAKE,BC,
-122.85222222222222,53.775555833333335,,1096455,2006-05-25 00:00:00,9,PRINCE GEORGE WEST LAKE,BC,
-122.85222222222222,53.775555833333335,,1096455,2011-02-24 00:00:00,-21.8,PRINCE GEORGE WEST LAKE,BC,
-122.85222222222222,53.775555833333335,,1096455,2006-09-14 00:00:00,7,PRINCE GEORGE WEST LAKE,BC,
-122.85222222222222,53.775555833333335,,1096455,2002-10-18 00:00:00,4.3,PRINCE GEORGE WEST LAKE,BC,
-122.85222222222222,53.775555833333335,,1096455,2007-03-10 00:00:00,1,PRINCE GEORGE WEST LAKE,BC,
-122.85222222222222,53.775555833333335,,1096455,2001-01-27 00:00:00,-10.5,PRINCE GEORGE WEST LAKE,BC,
-122.85222222222222,53.775555833333335,,1096455,2001-12-01 00:00:00,-9.8,PRINCE GEORGE WEST LAKE,BC,
-122.85222222222222,53.775555833333335,,1096455,2002-11-08 00:00:00,-0.8,PRINCE GEORGE WEST LAKE,BC,
-122.85222222222222,53.775555833333335,,1096455,2007-11-06 00:00:00,2.3,PRINCE GEORGE WEST LAKE,BC,
-122.85222222222222,53.775555833333335,,1096455,2001-02-17 00:00:00,-18,PRINCE GEORGE WEST LAKE,BC,
-122.85222222222222,53.775555833333335,,1096455,2003-05-06 00:00:00,2.8,PRINCE GEORGE WEST LAKE,BC,
-122.85222222222222,53.775555833333335,,1096455,2001-07-03 00:00:00,15,PRINCE GEORGE WEST LAKE,BC,
-122.85222222222222,53.775555833333335,,1096455,2007-08-27 00:00:00,9.5,PRINCE GEORGE WEST LAKE,BC,
-122.85222222222222,53.775555833333335,,1096455,2006-05-29 00:00:00,13.3,PRINCE GEORGE WEST LAKE,BC,
-122.85222222222222,53.775555833333335,,1096455,2004-06-29 00:00:00,16.8,PRINCE GEORGE WEST LAKE,BC,
-122.85222222222222,53.775555833333335,,1096455,2003-08-23 00:00:00,10,PRINCE GEORGE WEST LAKE,BC,
-122.85222222222222,53.775555833333335,,1096455,2004-10-07 00:00:00,5.8,PRINCE GEORGE WEST LAKE,BC,
