x,y,CLIMATE_IDENTIFIER,SPEED_MAX_GUST,MEAN_TEMPERATURE,PROVINCE_CODE,STATION_NAME,MAX_REL_HUMIDITY,LOCAL_DATE
-106.7,52.170833333333334,4057152,,3.6,SK,SASKATOON INTL A,82,2018-10-30 00:00:00
-106.7,52.170833333333334,4057152,,2.6,SK,SASKATOON INTL A,100,2018-10-31 00:00:00
-106.7,52.170833333333334,4057152,,1.1,SK,SASKATOON INTL A,98,2018-11-01 00:00:00
-106.7,52.170833333333334,4057152,,-2.1,SK,SASKATOON INTL A,96,2018-11-02 00:00:00
-106.7,52.170833333333334,4057152,,-0.5,SK,SASKATOON INTL A,92,2018-11-03 00:00:00
-106.7,52.170833333333334,4057152,,1.1,SK,SASKATOON INTL A,98,2018-11-04 00:00:00
-106.7,52.170833333333334,4057152,,-3.4,SK,SASKATOON INTL A,97,2018-11-05 00:00:00
-106.7,52.170833333333334,4057152,,-11.8,SK,SASKATOON INTL A,88,2018-11-06 00:00:00
-106.7,52.170833333333334,4057152,,-13.8,SK,SASKATOON INTL A,88,2018-11-07 00:00:00
-106.7,52.170833333333334,4057152,,-13.2,SK,SASKATOON INTL A,88,2018-11-08 00:00:00
-106.7,52.170833333333334,4057152,,-12.8,SK,SASKATOON INTL A,91,2018-11-09 00:00:00
-106.7,52.170833333333334,4057152,,-8.6,SK,SASKATOON INTL A,93,2018-11-10 00:00:00
-106.7,52.170833333333334,4057152,,-10.4,SK,SASKATOON INTL A,91,2018-11-11 00:00:00
-106.7,52.170833333333334,4057152,,-10.6,SK,SASKATOON INTL A,82,2018-11-12 00:00:00
-106.7,52.170833333333334,4057152,,-2.7,SK,SASKATOON INTL A,95,2018-11-13 00:00:00
-106.7,52.170833333333334,4057152,,-3.4,SK,SASKATOON INTL A,97,2018-11-14 00:00:00
-106.7,52.170833333333334,4057152,,-3,SK,SASKATOON INTL A,92,2018-11-15 00:00:00
-106.7,52.170833333333334,4057152,,-13.9,SK,SASKATOON INTL A,89,2018-11-16 00:00:00
-106.7,52.170833333333334,4057152,,-14.4,SK,SASKATOON INTL A,89,2018-11-17 00:00:00
-106.7,52.170833333333334,4057152,,-14.4,SK,SASKATOON INTL A,89,2018-11-18 00:00:00
-106.7,52.170833333333334,4057152,,-11.4,SK,SASKATOON INTL A,95,2018-11-19 00:00:00
-106.7,52.170833333333334,4057152,,-4.3,SK,SASKATOON INTL A,100,2018-11-20 00:00:00
-106.7,52.170833333333334,4057152,,-4.5,SK,SASKATOON INTL A,99,2018-11-21 00:00:00
-106.7,52.170833333333334,4057152,,-1.2,SK,SASKATOON INTL A,94,2018-11-22 00:00:00
-106.7,52.170833333333334,4057152,,-3.5,SK,SASKATOON INTL A,94,2018-11-23 00:00:00
-106.7,52.170833333333334,4057152,,-8.3,SK,SASKATOON INTL A,93,2018-11-24 00:00:00
-106.7,52.170833333333334,4057152,,-8.1,SK,SASKATOON INTL A,88,2018-11-25 00:00:00
-106.7,52.170833333333334,4057152,,-6.8,SK,SASKATOON INTL A,90,2018-11-26 00:00:00
-106.7,52.170833333333334,4057152,,-6.1,SK,SASKATOON INTL A,89,2018-11-27 00:00:00
