Longitude,Latitude,Province,Name,Date,MEAN_TEMPERATURE,SPEED_MAX_GUST,MAX_REL_HUMIDITY,Climate ID,Station ID
-94.61666666666666,48.73333333333333,ON,RAINY RIVER-COOPER,1992-10-20 00:00:00,1.5,,,602FQ5L,5180
-94.61666666666666,48.73333333333333,ON,RAINY RIVER-COOPER,1992-02-24 00:00:00,-7.3,,,602FQ5L,5180
-94.61666666666666,48.73333333333333,ON,RAINY RIVER-COOPER,1993-07-10 00:00:00,18.0,,,602FQ5L,5180
-94.61666666666666,48.73333333333333,ON,RAINY RIVER-COOPER,1991-10-07 00:00:00,7.5,,,602FQ5L,5180
-94.61666666666666,48.73333333333333,ON,RAINY RIVER-COOPER,1992-08-30 00:00:00,10.5,,,602FQ5L,5180
-94.61666666666666,48.73333333333333,ON,RAINY RIVER-COOPER,1993-04-07 00:00:00,4.0,,,602FQ5L,5180
-94.61666666666666,48.73333333333333,ON,RAINY RIVER-COOPER,1992-02-03 00:00:00,-4.0,,,602FQ5L,5180
-94.61666666666666,48.73333333333333,ON,RAINY RIVER-COOPER,1992-06-11 00:00:00,20.5,,,602FQ5L,5180
-94.61666666666666,48.73333333333333,ON,RAINY RIVER-COOPER,1992-04-11 00:00:00,-3.8,,,602FQ5L,5180
-94.61666666666666,48.73333333333333,ON,RAINY RIVER-COOPER,1993-01-17 00:00:00,-17.5,,,602FQ5L,5180
-94.61666666666666,48.73333333333333,ON,RAINY RIVER-COOPER,1993-02-15 00:00:00,-21.0,,,602FQ5L,5180
-94.61666666666666,48.73333333333333,ON,RAINY RIVER-COOPER,1992-07-08 00:00:00,16.8,,,602FQ5L,5180
-94.61666666666666,48.73333333333333,ON,RAINY RIVER-COOPER,1993-03-02 00:00:00,1.0,,,602FQ5L,5180
-94.61666666666666,48.73333333333333,ON,RAINY RIVER-COOPER,1992-12-16 00:00:00,-8.0,,,602FQ5L,5180
-94.61666666666666,48.73333333333333,ON,RAINY RIVER-COOPER,1993-02-27 00:00:00,-11.0,,,602FQ5L,5180
-94.61666666666666,48.73333333333333,ON,RAINY RIVER-COOPER,1992-11-11 00:00:00,-0.8,,,602FQ5L,5180
-94.61666666666666,48.73333333333333,ON,RAINY RIVER-COOPER,1993-03-16 00:00:00,-15.3,,,602FQ5L,5180
-94.61666666666666,48.73333333333333,ON,RAINY RIVER-COOPER,1993-07-24 00:00:00,19.5,,,602FQ5L,5180
-94.61666666666666,48.73333333333333,ON,RAINY RIVER-COOPER,1993-06-27 00:00:00,10.5,,,602FQ5L,5180
-94.61666666666666,48.73333333333333,ON,RAINY RIVER-COOPER,1993-05-21 00:00:00,8.0,,,602FQ5L,5180
-94.61666666666666,48.73333333333333,ON,RAINY RIVER-COOPER,1993-01-13 00:00:00,-13.3,,,602FQ5L,5180
-94.61666666666666,48.73333333333333,ON,RAINY RIVER-COOPER,1992-05-16 00:00:00,12.5,,,602FQ5L,5180
-94.61666666666666,48.73333333333333,ON,RAINY RIVER-COOPER,1993-01-30 00:00:00,-2.5,,,602FQ5L,5180
-94.61666666666666,48.73333333333333,ON,RAINY RIVER-COOPER,1992-11-18 00:00:00,-2.5,,,602FQ5L,5180
-94.61666666666666,48.73333333333333,ON,RAINY RIVER-COOPER,1992-12-27 00:00:00,-15.0,,,602FQ5L,5180
-94.61666666666666,48.73333333333333,ON,RAINY RIVER-COOPER,1993-02-23 00:00:00,-20.5,,,602FQ5L,5180
-94.61666666666666,48.73333333333333,ON,RAINY RIVER-COOPER,1991-11-11 00:00:00,-4.3,,,602FQ5L,5180
-94.61666666666666,48.73333333333333,ON,RAINY RIVER-COOPER,1993-06-19 00:00:00,15.8,,,602FQ5L,5180
-94.61666666666666,48.73333333333333,ON,RAINY RIVER-COOPER,1993-04-03 00:00:00,-1.0,,,602FQ5L,5180
-94.61666666666666,48.73333333333333,ON,RAINY RIVER-COOPER,1991-09-09 00:00:00,19.3,,,602FQ5L,5180
