Longitude,Latitude,MAX_REL_HUMIDITY,MEAN_TEMPERATURE,Date,Climate ID,Name,Province,SPEED_MAX_GUST,Station ID
-120.83916666666669,51.3265,,9.3,2003-04-21 00:00:00,116HFF6,VIDETTE LAKE SHARPE LAKE,BC,,1558
-120.83916666666669,51.3265,,4.5,1994-10-12 00:00:00,116HFF6,VIDETTE LAKE SHARPE LAKE,BC,,1558
-120.83916666666669,51.3265,,,1988-06-01 00:00:00,116HFF6,VIDETTE LAKE SHARPE LAKE,BC,,1558
-120.83916666666669,51.3265,,10.8,1989-08-25 00:00:00,116HFF6,VIDETTE LAKE SHARPE LAKE,BC,,1558
-120.83916666666669,51.3265,,20.3,1990-08-12 00:00:00,116HFF6,VIDETTE LAKE SHARPE LAKE,BC,,1558
-120.83916666666669,51.3265,,18.3,2007-07-17 00:00:00,116HFF6,VIDETTE LAKE SHARPE LAKE,BC,,1558
-120.83916666666669,51.3265,,10.0,2002-05-19 00:00:00,116HFF6,VIDETTE LAKE SHARPE LAKE,BC,,1558
-120.83916666666669,51.3265,,11.5,1995-08-08 00:00:00,116HFF6,VIDETTE LAKE SHARPE LAKE,BC,,1558
-120.83916666666669,51.3265,,-1.0,1992-04-11 00:00:00,116HFF6,VIDETTE LAKE SHARPE LAKE,BC,,1558
-120.83916666666669,51.3265,,-25.3,1993-01-11 00:00:00,116HFF6,VIDETTE LAKE SHARPE LAKE,BC,,1558
-120.83916666666669,51.3265,,4.0,1995-10-09 00:00:00,116HFF6,VIDETTE LAKE SHARPE LAKE,BC,,1558
-120.83916666666669,51.3265,,1.8,2000-02-07 00:00:00,116HFF6,VIDETTE LAKE SHARPE LAKE,BC,,1558
-120.83916666666669,51.3265,,-9.5,1991-01-23 00:00:00,116HFF6,VIDETTE LAKE SHARPE LAKE,BC,,1558
-120.83916666666669,51.3265,,-10.5,1991-11-02 00:00:00,116HFF6,VIDETTE LAKE SHARPE LAKE,BC,,1558
-120.83916666666669,51.3265,,4.5,1990-03-16 00:00:00,116HFF6,VIDETTE LAKE SHARPE LAKE,BC,,1558
-120.83916666666669,51.3265,,-16.3,2000-01-20 00:00:00,116HFF6,VIDETTE LAKE SHARPE LAKE,BC,,1558
-120.83916666666669,51.3265,,13.8,2007-08-03 00:00:00,116HFF6,VIDETTE LAKE SHARPE LAKE,BC,,1558
-120.83916666666669,51.3265,,14.3,2009-05-17 00:00:00,116HFF6,VIDETTE LAKE SHARPE LAKE,BC,,1558
-120.83916666666669,51.3265,,-0.3,2000-11-01 00:00:00,116HFF6,VIDETTE LAKE SHARPE LAKE,BC,,1558
-120.83916666666669,51.3265,,2.3,1993-04-06 00:00:00,116HFF6,VIDETTE LAKE SHARPE LAKE,BC,,1558
