x,y,CLIMATE_IDENTIFIER,SPEED_MAX_GUST,MEAN_TEMPERATURE,PROVINCE_CODE,STATION_NAME,MAX_REL_HUMIDITY,LOCAL_DATE
-116.336945,51.35612,117R00H,,-4,BC,YOHO NP OHARA LAKE,,1988-01-29 00:00:00
-116.336945,51.35612,117R00H,,-21.5,BC,YOHO NP OHARA LAKE,,1988-01-30 00:00:00
-116.336945,51.35612,117R00H,,-28.5,BC,YOHO NP OHARA LAKE,,1988-01-31 00:00:00
-116.336945,51.35612,117R00H,,-25.5,BC,YOHO NP OHARA LAKE,,1988-02-01 00:00:00
-116.336945,51.35612,117R00H,,-19.8,BC,YOHO NP OHARA LAKE,,1988-02-02 00:00:00
-116.336945,51.35612,117R00H,,-18,BC,YOHO NP OHARA LAKE,,1988-02-03 00:00:00
-116.336945,51.35612,117R00H,,-17,BC,YOHO NP OHARA LAKE,,1988-02-04 00:00:00
-116.336945,51.35612,117R00H,,-14.3,BC,YOHO NP OHARA LAKE,,1988-02-05 00:00:00
-116.336945,51.35612,117R00H,,-6.5,BC,YOHO NP OHARA LAKE,,1988-02-06 00:00:00
-116.336945,51.35612,117R00H,,-6.8,BC,YOHO NP OHARA LAKE,,1988-02-07 00:00:00
-116.336945,51.35612,117R00H,,-9.5,BC,YOHO NP OHARA LAKE,,1988-02-08 00:00:00
-116.336945,51.35612,117R00H,,-14,BC,YOHO NP OHARA LAKE,,1988-02-09 00:00:00
-116.336945,51.35612,117R00H,,-9.5,BC,YOHO NP OHARA LAKE,,1988-02-10 00:00:00
-116.336945,51.35612,117R00H,,-4,BC,YOHO NP OHARA LAKE,,1988-02-11 00:00:00
-116.336945,51.35612,117R00H,,-1,BC,YOHO NP OHARA LAKE,,1988-02-12 00:00:00
-116.336945,51.35612,117R00H,,-5.8,BC,YOHO NP OHARA LAKE,,1988-02-13 00:00:00
-116.336945,51.35612,117R00H,,-7.8,BC,YOHO NP OHARA LAKE,,1988-02-14 00:00:00
-116.336945,51.35612,117R00H,,-6.3,BC,YOHO NP OHARA LAKE,,1988-02-15 00:00:00
-116.336945,51.35612,117R00H,,-8,BC,YOHO NP OHARA LAKE,,1988-02-16 00:00:00
-116.336945,51.35612,117R00H,,-8,BC,YOHO NP OHARA LAKE,,1988-02-17 00:00:00
-116.336945,51.35612,117R00H,,-7.8,BC,YOHO NP OHARA LAKE,,1988-02-18 00:00:00
-116.336945,51.35612,117R00H,,-3.5,BC,YOHO NP OHARA LAKE,,1988-02-19 00:00:00
-116.336945,51.35612,117R00H,,-3.3,BC,YOHO NP OHARA LAKE,,1988-02-20 00:00:00
-116.336945,51.35612,117R00H,,-5.8,BC,YOHO NP OHARA LAKE,,1988-02-21 00:00:00
-116.336945,51.35612,117R00H,,-14.5,BC,YOHO NP OHARA LAKE,,1988-02-22 00:00:00
-116.336945,51.35612,117R00H,,-13.5,BC,YOHO NP OHARA LAKE,,1988-02-23 00:00:00
-116.336945,51.35612,117R00H,,-6.5,BC,YOHO NP OHARA LAKE,,1988-02-24 00:00:00
-116.336945,51.35612,117R00H,,-6.3,BC,YOHO NP OHARA LAKE,,1988-02-25 00:00:00
-116.336945,51.35612,117R00H,,0.8,BC,YOHO NP OHARA LAKE,,1988-02-26 00:00:00
-116.336945,51.35612,117R00H,,0.5,BC,YOHO NP OHARA LAKE,,1988-02-27 00:00:00
-116.336945,51.35612,117R00H,,-6.8,BC,YOHO NP OHARA LAKE,,1988-02-28 00:00:00
-116.336945,51.35612,117R00H,,-5,BC,YOHO NP OHARA LAKE,,1988-02-29 00:00:00
-116.336945,51.35612,117R00H,,-4,BC,YOHO NP OHARA LAKE,,1988-03-01 00:00:00
-116.336945,51.35612,117R00H,,-2,BC,YOHO NP OHARA LAKE,,1988-03-02 00:00:00
-116.336945,51.35612,117R00H,,-2.8,BC,YOHO NP OHARA LAKE,,1988-03-03 00:00:00
-116.336945,51.35612,117R00H,,-4.5,BC,YOHO NP OHARA LAKE,,1988-03-04 00:00:00
-116.336945,51.35612,117R00H,,-5,BC,YOHO NP OHARA LAKE,,1988-03-05 00:00:00
-116.336945,51.35612,117R00H,,-7.3,BC,YOHO NP OHARA LAKE,,1988-03-06 00:00:00
-116.336945,51.35612,117R00H,,-7,BC,YOHO NP OHARA LAKE,,1988-03-07 00:00:00
-116.336945,51.35612,117R00H,,-3,BC,YOHO NP OHARA LAKE,,1988-03-08 00:00:00
-116.336945,51.35612,117R00H,,-4.3,BC,YOHO NP OHARA LAKE,,1988-03-09 00:00:00
-116.336945,51.35612,117R00H,,-11,BC,YOHO NP OHARA LAKE,,1988-03-10 00:00:00
-116.336945,51.35612,117R00H,,-13.3,BC,YOHO NP OHARA LAKE,,1988-03-11 00:00:00
-116.336945,51.35612,117R00H,,-10.5,BC,YOHO NP OHARA LAKE,,1988-03-12 00:00:00
