x,y,CLIMATE_IDENTIFIER,SPEED_MAX_GUST,MEAN_TEMPERATURE,PROVINCE_CODE,STATION_NAME,MAX_REL_HUMIDITY,LOCAL_DATE
-120.5125,49.467777777777776,1126518,,5.9,BC,PRINCETON A,99,2018-10-29 00:00:00
-120.5125,49.467777777777776,1126518,,6.6,BC,PRINCETON A,96,2018-10-30 00:00:00
-120.5125,49.467777777777776,1126518,,5,BC,PRINCETON A,98,2018-10-31 00:00:00
-120.5125,49.467777777777776,1126518,,6.5,BC,PRINCETON A,98,2018-11-01 00:00:00
-120.5125,49.467777777777776,1126518,,9.3,BC,PRINCETON A,99,2018-11-02 00:00:00
-120.5125,49.467777777777776,1126518,,5.8,BC,PRINCETON A,97,2018-11-03 00:00:00
-120.5125,49.467777777777776,1126518,,7.5,BC,PRINCETON A,97,2018-11-04 00:00:00
-120.5125,49.467777777777776,1126518,,5.8,BC,PRINCETON A,95,2018-11-05 00:00:00
-120.5125,49.467777777777776,1126518,,4.2,BC,PRINCETON A,97,2018-11-06 00:00:00
-120.5125,49.467777777777776,1126518,,-0.8,BC,PRINCETON A,98,2018-11-07 00:00:00
-120.5125,49.467777777777776,1126518,,-2.3,BC,PRINCETON A,92,2018-11-08 00:00:00
-120.5125,49.467777777777776,1126518,,-1.8,BC,PRINCETON A,99,2018-11-09 00:00:00
-120.5125,49.467777777777776,1126518,,0.6,BC,PRINCETON A,100,2018-11-10 00:00:00
-120.5125,49.467777777777776,1126518,,-1.2,BC,PRINCETON A,96,2018-11-11 00:00:00
-120.5125,49.467777777777776,1126518,,-1.7,BC,PRINCETON A,97,2018-11-12 00:00:00
-120.5125,49.467777777777776,1126518,,-1,BC,PRINCETON A,95,2018-11-13 00:00:00
-120.5125,49.467777777777776,1126518,,2.6,BC,PRINCETON A,90,2018-11-14 00:00:00
-120.5125,49.467777777777776,1126518,,0.5,BC,PRINCETON A,94,2018-11-15 00:00:00
-120.5125,49.467777777777776,1126518,,0.3,BC,PRINCETON A,100,2018-11-16 00:00:00
-120.5125,49.467777777777776,1126518,,-4.2,BC,PRINCETON A,97,2018-11-17 00:00:00
-120.5125,49.467777777777776,1126518,,-3,BC,PRINCETON A,94,2018-11-18 00:00:00
