x,y,MAX_REL_HUMIDITY,LOCAL_DATE,STATION_NAME,SPEED_MAX_GUST,MEAN_TEMPERATURE,CLIMATE_IDENTIFIER,PROVINCE_CODE
-101.88333333333334,54.766666666666666,,1992-09-20 00:00:00,FLIN FLON,,13,5050920,MB
-101.88333333333334,54.766666666666666,,2018-01-22 00:00:00,FLIN FLON,,-21.8,5050920,MB
-101.88333333333334,54.766666666666666,,1993-05-19 00:00:00,FLIN FLON,,10,5050920,MB
-101.88333333333334,54.766666666666666,,2004-08-01 00:00:00,FLIN FLON,,14.3,5050920,MB
-101.88333333333334,54.766666666666666,,2012-09-18 00:00:00,FLIN FLON,,11,5050920,MB
-101.88333333333334,54.766666666666666,,2001-11-13 00:00:00,FLIN FLON,,-0.3,5050920,MB
-101.88333333333334,54.766666666666666,,1992-07-14 00:00:00,FLIN FLON,,18.5,5050920,MB
-101.88333333333334,54.766666666666666,,2019-08-09 00:00:00,FLIN FLON,,17.8,5050920,MB
-101.88333333333334,54.766666666666666,,1996-02-17 00:00:00,FLIN FLON,,-22,5050920,MB
-101.88333333333334,54.766666666666666,,1996-12-25 00:00:00,FLIN FLON,,-28.5,5050920,MB
-101.88333333333334,54.766666666666666,,2012-12-12 00:00:00,FLIN FLON,,-26.5,5050920,MB
-101.88333333333334,54.766666666666666,,1994-07-18 00:00:00,FLIN FLON,,20.3,5050920,MB
-101.88333333333334,54.766666666666666,,2004-07-22 00:00:00,FLIN FLON,,13.5,5050920,MB
-101.88333333333334,54.766666666666666,,2019-09-11 00:00:00,FLIN FLON,,10.3,5050920,MB
-101.88333333333334,54.766666666666666,,2014-10-28 00:00:00,FLIN FLON,,-2.3,5050920,MB
-101.88333333333334,54.766666666666666,,2011-10-19 00:00:00,FLIN FLON,,4,5050920,MB
-101.88333333333334,54.766666666666666,,1990-06-30 00:00:00,FLIN FLON,,21,5050920,MB
-101.88333333333334,54.766666666666666,,2017-11-26 00:00:00,FLIN FLON,,-14,5050920,MB
-101.88333333333334,54.766666666666666,,2015-11-10 00:00:00,FLIN FLON,,-4.8,5050920,MB
-101.88333333333334,54.766666666666666,,2000-07-10 00:00:00,FLIN FLON,,17.3,5050920,MB
-101.88333333333334,54.766666666666666,,2007-05-21 00:00:00,FLIN FLON,,7,5050920,MB
-101.88333333333334,54.766666666666666,,1988-03-20 00:00:00,FLIN FLON,,-13,5050920,MB
-101.88333333333334,54.766666666666666,,2017-03-13 00:00:00,FLIN FLON,,-19.8,5050920,MB
-101.88333333333334,54.766666666666666,,2018-06-25 00:00:00,FLIN FLON,,24.8,5050920,MB
-101.88333333333334,54.766666666666666,,2008-10-28 00:00:00,FLIN FLON,,0.8,5050920,MB
-101.88333333333334,54.766666666666666,,1997-01-14 00:00:00,FLIN FLON,,-18.5,5050920,MB
-101.88333333333334,54.766666666666666,,2019-02-09 00:00:00,FLIN FLON,,-25,5050920,MB
-101.88333333333334,54.766666666666666,,2019-09-23 00:00:00,FLIN FLON,,17.3,5050920,MB
