x,y,MAX_REL_HUMIDITY,CLIMATE_IDENTIFIER,LOCAL_DATE,MEAN_TEMPERATURE,STATION_NAME,PROVINCE_CODE,SPEED_MAX_GUST
-115.88333333333334,53.2,,306KD60,2007-05-06 00:00:00,,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,2004-07-12 00:00:00,16.6,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,1992-08-24 00:00:00,5,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,1992-04-19 00:00:00,,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,1992-04-14 00:00:00,,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,2007-06-29 00:00:00,17.8,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,2010-07-03 00:00:00,,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,2005-06-11 00:00:00,12.9,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,1998-07-18 00:00:00,17.5,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,1995-06-26 00:00:00,,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,1999-08-02 00:00:00,11.3,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,2003-06-12 00:00:00,11.8,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,2001-06-18 00:00:00,9.5,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,2003-05-14 00:00:00,12.4,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,1998-05-13 00:00:00,11.3,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,2004-09-19 00:00:00,4.6,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,1996-05-20 00:00:00,8.4,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,1994-10-27 00:00:00,5.5,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,2009-09-17 00:00:00,,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,2006-07-27 00:00:00,18.1,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,2004-08-05 00:00:00,16.6,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,1996-09-23 00:00:00,3.6,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,1993-08-16 00:00:00,13,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,1994-05-14 00:00:00,7,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,1993-05-29 00:00:00,7,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,2008-08-18 00:00:00,,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,1995-07-01 00:00:00,16.5,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,2005-05-16 00:00:00,12.1,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,2001-06-26 00:00:00,6.8,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,2002-08-10 00:00:00,13,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,1998-05-16 00:00:00,8.9,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,2009-04-07 00:00:00,4.9,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,1996-06-17 00:00:00,8.5,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,2001-07-20 00:00:00,14.2,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,2004-05-16 00:00:00,7.8,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,1993-06-13 00:00:00,12,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,2002-06-17 00:00:00,11.3,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,1997-06-04 00:00:00,,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,1999-09-04 00:00:00,8.4,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,2006-08-30 00:00:00,,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,2003-09-06 00:00:00,17.8,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,1989-09-22 00:00:00,11.5,ETA LAKE,AB,
-115.88333333333334,53.2,,306KD60,2009-06-02 00:00:00,,ETA LAKE,AB,
