x,y,PROVINCE_CODE,STATION_NAME,LOCAL_DATE,MEAN_TEMPERATURE,SPEED_MAX_GUST,MAX_REL_HUMIDITY,CLIMATE_IDENTIFIER
-95.36666666666666,49.68333333333333,MB,FALCON LAKE TCPL 45,1994-08-09 00:00:00,13,,,5030912
-95.36666666666666,49.68333333333333,MB,FALCON LAKE TCPL 45,1990-07-04 00:00:00,17.8,,,5030912
-95.36666666666666,49.68333333333333,MB,FALCON LAKE TCPL 45,1992-05-17 00:00:00,8.5,,,5030912
-95.36666666666666,49.68333333333333,MB,FALCON LAKE TCPL 45,1990-11-26 00:00:00,-14,,,5030912
-95.36666666666666,49.68333333333333,MB,FALCON LAKE TCPL 45,1988-07-10 00:00:00,,,,5030912
-95.36666666666666,49.68333333333333,MB,FALCON LAKE TCPL 45,1996-06-04 00:00:00,12.3,,,5030912
-95.36666666666666,49.68333333333333,MB,FALCON LAKE TCPL 45,1996-05-20 00:00:00,8.5,,,5030912
-95.36666666666666,49.68333333333333,MB,FALCON LAKE TCPL 45,1996-01-12 00:00:00,0.8,,,5030912
-95.36666666666666,49.68333333333333,MB,FALCON LAKE TCPL 45,1995-03-20 00:00:00,-0.3,,,5030912
-95.36666666666666,49.68333333333333,MB,FALCON LAKE TCPL 45,1994-10-06 00:00:00,12.8,,,5030912
-95.36666666666666,49.68333333333333,MB,FALCON LAKE TCPL 45,1988-11-22 00:00:00,-6.8,,,5030912
-95.36666666666666,49.68333333333333,MB,FALCON LAKE TCPL 45,1991-01-21 00:00:00,-20.8,,,5030912
-95.36666666666666,49.68333333333333,MB,FALCON LAKE TCPL 45,1996-02-08 00:00:00,-7.5,,,5030912
-95.36666666666666,49.68333333333333,MB,FALCON LAKE TCPL 45,1997-04-20 00:00:00,,,,5030912
-95.36666666666666,49.68333333333333,MB,FALCON LAKE TCPL 45,1995-01-20 00:00:00,-10.8,,,5030912
-95.36666666666666,49.68333333333333,MB,FALCON LAKE TCPL 45,1991-06-01 00:00:00,16.8,,,5030912
