x,y,PROVINCE_CODE,STATION_NAME,LOCAL_DATE,MEAN_TEMPERATURE,SPEED_MAX_GUST,MAX_REL_HUMIDITY,CLIMATE_IDENTIFIER
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2006-12-02 00:00:00,-12.5,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2001-11-02 00:00:00,2.8,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1999-01-25 00:00:00,-15.8,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2020-12-02 00:00:00,-6,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2002-03-17 00:00:00,-3.3,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1991-08-22 00:00:00,15.3,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2005-04-17 00:00:00,10.3,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2008-04-04 00:00:00,1.5,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2000-07-05 00:00:00,21.5,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1993-12-31 00:00:00,-10.8,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2019-08-24 00:00:00,20.3,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1987-06-18 00:00:00,21.5,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2014-04-02 00:00:00,-10.8,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2004-10-11 00:00:00,11.5,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2009-03-14 00:00:00,-0.8,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2008-07-31 00:00:00,20.5,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2001-01-06 00:00:00,-11.8,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2000-08-26 00:00:00,20.5,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2017-03-22 00:00:00,-8.5,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1998-06-21 00:00:00,16,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1994-05-26 00:00:00,11.3,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2004-05-09 00:00:00,17.5,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2004-05-25 00:00:00,8,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1997-03-31 00:00:00,-0.5,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,1992-06-17 00:00:00,15.5,,,5031320
-95.19722222222222,49.62388888888889,MB,INDIAN BAY,2000-04-10 00:00:00,-3.8,,,5031320
