Longitude,Latitude,Name,Date,Climate ID,SPEED_MAX_GUST,Province,MEAN_TEMPERATURE,MAX_REL_HUMIDITY,Station ID
-116.97152777777778,50.23866666666667,DUNCAN LAKE DAM,1996-09-27 00:00:00,1142574,,BC,9.5,,1306
-116.97152777777778,50.23866666666667,DUNCAN LAKE DAM,1990-03-10 00:00:00,1142574,,BC,1.8,,1306
-116.97152777777778,50.23866666666667,DUNCAN LAKE DAM,2007-08-10 00:00:00,1142574,,BC,14.3,,1306
-116.97152777777778,50.23866666666667,DUNCAN LAKE DAM,2018-06-06 00:00:00,1142574,,BC,14.5,,1306
-116.97152777777778,50.23866666666667,DUNCAN LAKE DAM,1988-03-18 00:00:00,1142574,,BC,3.3,,1306
-116.97152777777778,50.23866666666667,DUNCAN LAKE DAM,1988-07-21 00:00:00,1142574,,BC,20.0,,1306
-116.97152777777778,50.23866666666667,DUNCAN LAKE DAM,2002-08-23 00:00:00,1142574,,BC,16.5,,1306
-116.97152777777778,50.23866666666667,DUNCAN LAKE DAM,1992-10-27 00:00:00,1142574,,BC,3.8,,1306
-116.97152777777778,50.23866666666667,DUNCAN LAKE DAM,2011-04-13 00:00:00,1142574,,BC,4.5,,1306
-116.97152777777778,50.23866666666667,DUNCAN LAKE DAM,2014-08-09 00:00:00,1142574,,BC,21.5,,1306
-116.97152777777778,50.23866666666667,DUNCAN LAKE DAM,1991-01-30 00:00:00,1142574,,BC,-9.8,,1306
-116.97152777777778,50.23866666666667,DUNCAN LAKE DAM,1990-04-21 00:00:00,1142574,,BC,12.0,,1306
-116.97152777777778,50.23866666666667,DUNCAN LAKE DAM,1998-06-28 00:00:00,1142574,,BC,15.5,,1306
-116.97152777777778,50.23866666666667,DUNCAN LAKE DAM,2006-11-17 00:00:00,1142574,,BC,0.8,,1306
-116.97152777777778,50.23866666666667,DUNCAN LAKE DAM,2006-07-12 00:00:00,1142574,,BC,17.8,,1306
-116.97152777777778,50.23866666666667,DUNCAN LAKE DAM,2020-02-11 00:00:00,1142574,,BC,-2.3,,1306
-116.97152777777778,50.23866666666667,DUNCAN LAKE DAM,2004-06-26 00:00:00,1142574,,BC,16.8,,1306
-116.97152777777778,50.23866666666667,DUNCAN LAKE DAM,2004-03-11 00:00:00,1142574,,BC,3.5,,1306
-116.97152777777778,50.23866666666667,DUNCAN LAKE DAM,2001-05-15 00:00:00,1142574,,BC,13.0,,1306
-116.97152777777778,50.23866666666667,DUNCAN LAKE DAM,2008-02-25 00:00:00,1142574,,BC,0.5,,1306
-116.97152777777778,50.23866666666667,DUNCAN LAKE DAM,2015-04-03 00:00:00,1142574,,BC,6.0,,1306
