x,y,PROVINCE_CODE,CLIMATE_IDENTIFIER,SPEED_MAX_GUST,MAX_REL_HUMIDITY,STATION_NAME,MEAN_TEMPERATURE,LOCAL_DATE
-121.6725,69.67277777777778,NT,2202663,,,KEATS POINT,-26.9,2021-02-01 00:00:00
-121.6725,69.67277777777778,NT,2202663,35,77,KEATS POINT,-29.9,2021-02-09 00:00:00
-121.6725,69.67277777777778,NT,2202663,42,74,KEATS POINT,-33.1,2021-02-08 00:00:00
-121.6725,69.67277777777778,NT,2202663,,,KEATS POINT,-26.2,2021-02-18 00:00:00
-121.6725,69.67277777777778,NT,2202663,48,79,KEATS POINT,-25.9,2021-02-16 00:00:00
-121.6725,69.67277777777778,NT,2202663,57,77,KEATS POINT,-27.9,2021-02-15 00:00:00
-121.6725,69.67277777777778,NT,2202663,,75,KEATS POINT,-32.1,2021-02-07 00:00:00
-121.6725,69.67277777777778,NT,2202663,,,KEATS POINT,-32,2021-02-03 00:00:00
-121.6725,69.67277777777778,NT,2202663,,,KEATS POINT,-30.1,2021-02-02 00:00:00
-121.6725,69.67277777777778,NT,2202663,,,KEATS POINT,-36.9,2021-02-05 00:00:00
-121.6725,69.67277777777778,NT,2202663,55,71,KEATS POINT,-35.8,2021-02-04 00:00:00
-121.6725,69.67277777777778,NT,2202663,,,KEATS POINT,-8.8,2021-02-13 00:00:00
-121.6725,69.67277777777778,NT,2202663,54,78,KEATS POINT,-26.4,2021-02-17 00:00:00
-121.6725,69.67277777777778,NT,2202663,42,77,KEATS POINT,-30.6,2021-02-06 00:00:00
-121.6725,69.67277777777778,NT,2202663,31,57,KEATS POINT,-4.9,2021-02-12 00:00:00
-121.6725,69.67277777777778,NT,2202663,,91,KEATS POINT,-14.2,2021-02-11 00:00:00
-121.6725,69.67277777777778,NT,2202663,,81,KEATS POINT,-24.9,2021-02-10 00:00:00
-121.6725,69.67277777777778,NT,2202663,59,74,KEATS POINT,-31.1,2021-02-20 00:00:00
-121.6725,69.67277777777778,NT,2202663,,77,KEATS POINT,-29.1,2021-02-19 00:00:00
-121.6725,69.67277777777778,NT,2202663,57,80,KEATS POINT,-19.6,2021-02-14 00:00:00
-121.6725,69.67277777777778,NT,2202663,74,74,KEATS POINT,-31.6,2021-02-23 00:00:00
-121.6725,69.67277777777778,NT,2202663,50,77,KEATS POINT,-27.7,2021-02-28 00:00:00
-121.6725,69.67277777777778,NT,2202663,,,KEATS POINT,-34.7,2021-02-26 00:00:00
-121.6725,69.67277777777778,NT,2202663,,,KEATS POINT,-29.1,2021-02-21 00:00:00
-121.6725,69.67277777777778,NT,2202663,68,70,KEATS POINT,-37.5,2021-02-25 00:00:00
