Longitude,Latitude,Climate ID,SPEED_MAX_GUST,MEAN_TEMPERATURE,Province,Name,MAX_REL_HUMIDITY,Date,Station ID
-106.7,52.17083333333333,4057152,,3.6,SK,SASKATOON INTL A,82.0,2018-10-30 00:00:00,4366
-106.7,52.17083333333333,4057152,,2.6,SK,SASKATOON INTL A,100.0,2018-10-31 00:00:00,4366
-106.7,52.17083333333333,4057152,,1.1,SK,SASKATOON INTL A,98.0,2018-11-01 00:00:00,4366
-106.7,52.17083333333333,4057152,,-2.1,SK,SASKATOON INTL A,96.0,2018-11-02 00:00:00,4366
-106.7,52.17083333333333,4057152,,-0.5,SK,SASKATOON INTL A,92.0,2018-11-03 00:00:00,4366
-106.7,52.17083333333333,4057152,,1.1,SK,SASKATOON INTL A,98.0,2018-11-04 00:00:00,4366
-106.7,52.17083333333333,4057152,,-3.4,SK,SASKATOON INTL A,97.0,2018-11-05 00:00:00,4366
-106.7,52.17083333333333,4057152,,-11.8,SK,SASKATOON INTL A,88.0,2018-11-06 00:00:00,4366
-106.7,52.17083333333333,4057152,,-13.8,SK,SASKATOON INTL A,88.0,2018-11-07 00:00:00,4366
-106.7,52.17083333333333,4057152,,-13.2,SK,SASKATOON INTL A,88.0,2018-11-08 00:00:00,4366
-106.7,52.17083333333333,4057152,,-12.8,SK,SASKATOON INTL A,91.0,2018-11-09 00:00:00,4366
-106.7,52.17083333333333,4057152,,-8.6,SK,SASKATOON INTL A,93.0,2018-11-10 00:00:00,4366
-106.7,52.17083333333333,4057152,,-10.4,SK,SASKATOON INTL A,91.0,2018-11-11 00:00:00,4366
-106.7,52.17083333333333,4057152,,-10.6,SK,SASKATOON INTL A,82.0,2018-11-12 00:00:00,4366
-106.7,52.17083333333333,4057152,,-2.7,SK,SASKATOON INTL A,95.0,2018-11-13 00:00:00,4366
-106.7,52.17083333333333,4057152,,-3.4,SK,SASKATOON INTL A,97.0,2018-11-14 00:00:00,4366
-106.7,52.17083333333333,4057152,,-3.0,SK,SASKATOON INTL A,92.0,2018-11-15 00:00:00,4366
-106.7,52.17083333333333,4057152,,-13.9,SK,SASKATOON INTL A,89.0,2018-11-16 00:00:00,4366
-106.7,52.17083333333333,4057152,,-14.4,SK,SASKATOON INTL A,89.0,2018-11-17 00:00:00,4366
-106.7,52.17083333333333,4057152,,-14.4,SK,SASKATOON INTL A,89.0,2018-11-18 00:00:00,4366
-106.7,52.17083333333333,4057152,,-11.4,SK,SASKATOON INTL A,95.0,2018-11-19 00:00:00,4366
-106.7,52.17083333333333,4057152,,-4.3,SK,SASKATOON INTL A,100.0,2018-11-20 00:00:00,4366
-106.7,52.17083333333333,4057152,,-4.5,SK,SASKATOON INTL A,99.0,2018-11-21 00:00:00,4366
-106.7,52.17083333333333,4057152,,-1.2,SK,SASKATOON INTL A,94.0,2018-11-22 00:00:00,4366
-106.7,52.17083333333333,4057152,,-3.5,SK,SASKATOON INTL A,94.0,2018-11-23 00:00:00,4366
-106.7,52.17083333333333,4057152,,-8.3,SK,SASKATOON INTL A,93.0,2018-11-24 00:00:00,4366
-106.7,52.17083333333333,4057152,,-8.1,SK,SASKATOON INTL A,88.0,2018-11-25 00:00:00,4366
-106.7,52.17083333333333,4057152,,-6.8,SK,SASKATOON INTL A,90.0,2018-11-26 00:00:00,4366
-106.7,52.17083333333333,4057152,,-6.1,SK,SASKATOON INTL A,89.0,2018-11-27 00:00:00,4366
-106.7,52.17083333333333,4057152,,-7.2,SK,SASKATOON INTL A,92.0,2018-11-28 00:00:00,4366
-106.7,52.17083333333333,4057152,,-0.1,SK,SASKATOON INTL A,,2018-11-29 00:00:00,4366
-106.7,52.17083333333333,4057152,,-5.3,SK,SASKATOON INTL A,97.0,2018-11-30 00:00:00,4366
-106.7,52.17083333333333,4057152,,-7.1,SK,SASKATOON INTL A,96.0,2018-12-01 00:00:00,4366
-106.7,52.17083333333333,4057152,,-8.0,SK,SASKATOON INTL A,96.0,2018-12-02 00:00:00,4366
-106.7,52.17083333333333,4057152,,-9.8,SK,SASKATOON INTL A,95.0,2018-12-03 00:00:00,4366
-106.7,52.17083333333333,4057152,,-10.5,SK,SASKATOON INTL A,93.0,2018-12-04 00:00:00,4366
-106.7,52.17083333333333,4057152,,-9.8,SK,SASKATOON INTL A,90.0,2018-12-05 00:00:00,4366
-106.7,52.17083333333333,4057152,,-13.5,SK,SASKATOON INTL A,86.0,2018-12-06 00:00:00,4366
-106.7,52.17083333333333,4057152,,-15.0,SK,SASKATOON INTL A,85.0,2018-12-07 00:00:00,4366
-106.7,52.17083333333333,4057152,,-15.8,SK,SASKATOON INTL A,86.0,2018-12-08 00:00:00,4366
-106.7,52.17083333333333,4057152,,-12.8,SK,SASKATOON INTL A,88.0,2018-12-09 00:00:00,4366
-106.7,52.17083333333333,4057152,,-10.4,SK,SASKATOON INTL A,91.0,2018-12-10 00:00:00,4366
-106.7,52.17083333333333,4057152,,-6.1,SK,SASKATOON INTL A,98.0,2018-12-11 00:00:00,4366
-106.7,52.17083333333333,4057152,,-5.3,SK,SASKATOON INTL A,95.0,2018-12-12 00:00:00,4366
-106.7,52.17083333333333,4057152,,-5.5,SK,SASKATOON INTL A,90.0,2018-12-13 00:00:00,4366
-106.7,52.17083333333333,4057152,,-3.3,SK,SASKATOON INTL A,93.0,2018-12-14 00:00:00,4366
-106.7,52.17083333333333,4057152,,-0.7,SK,SASKATOON INTL A,79.0,2018-12-15 00:00:00,4366
-106.7,52.17083333333333,4057152,,-10.1,SK,SASKATOON INTL A,85.0,2018-12-16 00:00:00,4366
-106.7,52.17083333333333,4057152,,-3.6,SK,SASKATOON INTL A,93.0,2018-12-17 00:00:00,4366
-106.7,52.17083333333333,4057152,,-4.2,SK,SASKATOON INTL A,97.0,2018-12-18 00:00:00,4366
-106.7,52.17083333333333,4057152,,-4.3,SK,SASKATOON INTL A,90.0,2018-12-19 00:00:00,4366
-106.7,52.17083333333333,4057152,,-5.1,SK,SASKATOON INTL A,92.0,2018-12-20 00:00:00,4366
